Opponent,W/L,Method,Competition,Weight,Stage,Year
Andre Galvao;L;Pts: 6x0;World Cup;82KG;1/4F;2005
Marcelo Garcia;L;Pts: 2x0;World Champ.;82KG;1/4F;2006
Alexandre Souza;L;Referee Decision;Brasileiro;ABS;SF;2008
Braulio Estima;L;N/A;World Champ.;88KG;SF;2008
Gregor Gracie;L;Pts: 3x0;ADCC;77KG;R1;2009
Gustavo Junqueira;L;Points;Full Fight;ABS;SPF;2009
Lucas Leite;L;Pts: 2x0;NoGi Worlds;79KG;SF;2009
Pablo Popovitch;L;Points;No Gi Worlds;86KG;SF;2010
JT Torres;L;Points;No Gi Worlds;ABS;R1;2010
Marcelo Garcia;L;Pts: 8x2;World Champ.;82KG;1/4F;2010
Romulo Barral;L;Points;World Champ.;88KG;1/4F;2010
Kron Gracie;L;Pts: 0x0, Pen;ADCC;77KG;1/4F;2011
Andre Galvao;L;Pts: 0x0, Pen;ADCC;ABS;SF;2011
Alexandre Ribeiro;L;Pts: 2x0;ADCC;ABS;3PLC;2011
Marcelo Goncalves;L;Points;No Gi Worlds;ABS;R1;2011
Thiago Abreu;L;Guillotine;No Gi Worlds;82KG;1/4F;2011
Marcus Almeida;L;Pts: 10x0;Pan American;ABS;1/4F;2012
Jake Mackenzie;L;Pts: 4x0;Pan American;82KG;R2;2012
Nivaldo Oliveira;L;Pts: 2x2, Adv;Brasileiro;ABS;SF;2012
Roberto Abreu;L;Pts: 6x4;World Champ.;ABS;R2;2012
Diego Borges;L;Pts: 6x2;World Champ.;82KG;R2;2012
Clark Gracie;L;Points;World Champ.;82KG;1/8F;2012
Clark Gracie;L;Pts: 2x0;NoGi Worlds;82KG;1/4F;2012
Kleber Buiu;L;Points;NoGi Worlds;ABS;1/8F;2012
Rafael Lovato;D;N/A;World Expo;ABS;SPF;2013
Vitor Oliveira;L;Adv;World Champ.;82KG;1/4F;2013
Jaime Canuto;L;Pts: 2x0;World Pro Trial;82KG;F;2014
Andre Galvao;L;Points;Pan American;ABS;1/4F;2014
Keenan Cornelius;L;Pts: 4x2;Pan American;88KG;1/4F;2014
Alexander Trans;L;Pts: 6x2;World Champ.;ABS;RD 4;2014
Braulio Estima;L;Pts: 8x2;World Champ.;88KG;SF;2014
Tim Spriggs;L;Adv;No Gi Worlds;ABS;RDS;2014
Keenan Cornelius;L;Pts: 2x0;No Gi Worlds;88KG;SF;2014
Keenan Cornelius;L;Pts: 4x0;Pan American;88KG;SF;2015
Alexander Trans;L;Pts: 2x0;World Champ.;ABS;1/8F;2015
Victor Estima;L;Referee Decision;World Champ.;82KG;1/4F;2015
Romulo Barral;L;Pts: 4x2;Pan American;88KG;SF;2016
Joao Rocha;L;Pts: 4x0;Pan American;ABS;1/8F;2016
Rodrigo Reis;L;Pts: 6x0;World Pro;85KG;R1;2016
Vitor Oliveira;L;Points;Atlanta BJJ Pro;94KG;F;2016
Romulo Barral;L;Pts: 2x0;World Champ.;88KG;1/4F;2016
Pedro Moura;L;Pts: 0x0, Adv;World Champ.;ABS;R2;2016
Matheus Diniz;L;Pts: 5x0;NY NoGi Open;ABS;F;2016
Erberth Santos;L;Pts: 6x0;G. Slam NG - LA;92KG;F;2016
Dillon Danis;L;Pts: 2x0;NoGi Pan Ams;83KG;F;2016
Yuri Simoes;L;Pts: 0x0, Pen;NoGi Worlds;ABS;F;2016
Gustavo Campos;W;Triangle;World Champ.;82KG;R1;2006
Fernando Piero;W;Triangle;Team Nationals;O88KG;1/4F;2006
Frank Uno;W;Triangle;Paulista FPJJ;ABS;N/A;2007
Eduardo Telles;W;Pts: 0x0, Adv;Paulista FPJJ;ABS;F;2007
Andre Galvao;W;Pts: 4x0;Paulista FPJJ;82KG;F;2007
Unknown;W;Submission;Brasileiro;82KG;1/4F;2007
Orlando Zanetti;W;Triangle;Brasileiro;82KG;SF;2007
Robert Fonseca;W;Triangle;Brasileiro;82KG;F;2007
Marcel Aguilar;W;Armbar;World Champ.;88KG;R1;2008
Eduardo Santoro;W;Points;World Champ.;88KG;1/4F;2008
Rodrigo Blazio;W;Omoplata;Brasileiro CBJJE;88KG;F;2008
Nilson Ricardo;W;Katagatame;Brasileiro NoGi;ABS;F;2009
Rafael dos Anjos;W;Points;ADCC Trials;77KG;1/4F;2009
Daniel Moraes;W;Points;ADCC Trials;77KG;SF;2009
Claudio Calasans;W;Triangle armbar;ADCC Trials;77KG;F;2009
Adriano Silva;W;Points;World Pro Trial;82KG;NA;2011
VinÃ­cius Corrales;W;Lapel choke;World Pro Trial;82KG;NA;2011
Rodrigo Caporal;W;Triangle;ADCC Trials;77KG;NA;2011
Raoni Barcelos;W;Heel hook;ADCC Trials;77KG;NA;2011
Vitor Oliveira;W;Heel hook;ADCC Trials;77KG;NA;2011
Junior Crivelari;W;Armbar;ADCC Trials;77KG;NA;2011
Jorge Britto;W;Armbar;ADCC;77KG;R1;2011
Marko Helen;W;Armbar;ADCC;ABS;R1;2011
Vinny Magalhaes;W;Referee Decision;ADCC;ABS;1/4F;2011
Tiago Rocha;W;N/A;Brasileiro NoGi;79KG;SF;2011
Sandro Vieira;W;Toe hold;Brasileiro NoGi;79KG;F;2011
Brent Primus;W;Pts: 11x0;Pan American;ABS;R1;2012
Rodrigo Caporal;W;Armbar;Pan American;ABS;R2;2012
Ken Primola;W;Armbar;Brasileiro;82KG;1/4F;2012
Gabriel Rollo;W;Armbar;Brasileiro;76KG;F;2012
Felipe Dias;W;Submission;World Champ.;ABS;R1;2012
Eduardo Sarkissian;W;Kneebar;Nacional Open;88KG;NA;2012
Rodrigo Ribeiro;W;Choke;Nacional Open;88KG;NA;2012
Rafael Silva;W;Armbar;Nacional Open;88KG;NA;2012
Unknown;W;Triangle;NoGi Worlds;ABS;R1;2012
Felipe Pena;W;Armbar;Brasileiro CBJJE;88KG;NA;2013
AbraÃ£o Amorim;W;Triangle;Mundial CBJJE;88KG;1/4F;2013
MaurÃ­cio Prisco;W;Armbar;Mundial CBJJE;88KG;SF;2013
Renato Cardoso;W;Pts: 8x0;Mundial CBJJE;88KG;F;2013
Thomas Loubersanes;W;Points;NoGi Pan American;83KG;F;2013
AJ Agazarm;W;Choke;NoGi Pan American;ABS;SF;2013
Lucas Leite;W;Adv;NoGi Worlds;ABS;SF;2013
Renato Cardoso;W;Referee Decision;World Pro Trial;ABS;F;2014
Gybson Sa;W;Pts: 4x0;Pan American;ABS;R2;2014
James Puopolo;W;Points;Pan American;ABS;R3;2014
Jurandir Conceicao;W;Points;Pan American;88KG;R1;2014
Seth Garver;W;Pts: 7x0;World Champ.;ABS;R1;2014
Mario Rossi;W;Choke;World Champ.;88KG;RDS;2014
Diego Gamonal;W;Points;World Champ.;88KG;1/4F;2014
Stefano Correa;W;Adv;SP Open;82KG;SF;2014
Vinicius Marinho;W;Triangle;SP Open NoGi;ABS;SF;2014
Vitor Bonfim;W;Adv;SP Open NoGi;ABS;F;2014
Inacio Neto;W;Toe hold;No Gi Worlds;88KG;1/4F;2014
Rodrigo Caporal;W;Triangle;Pan American;ABS;R2;2015
