Opponent,W/L,Method,Competition,Weight,Stage,Year
Otavio Sousa,L,Adv,Pan American,88KG,SF,2009
Tarsis Humphreys,L,Referee Decision,World Champ.,88KG,1/4F,2010
Augusto Mendes,L,Pts: 4x2,South American,ABS,SF,2010
Sergio Moraes,L,Pts: 2x0,Brasileiro,88KG,F,2011
Alexandre Ceconi,L,Points,Pan Am CBJJE,ABS,NA,2011
Rodrigo Fajardo,L,Referee Decision,European Open,88KG,F,2012
Diogo Sampaio,L,Points,World Champ.,88KG,R2,2012
Rafael Lovato,L,Katagatame,NoGi Worlds,94KG,SF,2012
Andre Galvao,L,Pts: 2x0,Pan American,ABS,SF,2013
Roberto Alencar,L,Adv,Pan American,88KG,F,2013
Dimitrius Souza,L,Points,Brasileiro,94KG,SF,2013
Rodolfo Vieira,L,Katagatame,World Champ.,94KG,SF,2013
Leandro Lo,L,Pts: 9x0,World Pro.,ABS,R3,2014
Romulo Barral,L,Kimura,World Pro.,88KG,1/4F,2014
Felipe Pena,L,Triangle/armbar,World Champ.,94KG,1/4F,2014
Igor Ribeiro,W,Botinha,Pan Am CBJJE,ABS,NA,2011
Romulo Barral,W,Points,Brasileiro,88KG,SF,2012
William Lima,W,Kneebar,Brasileiro,88KG,F,2012
Murilo Santana,W,Pts: 2x2, Adv,Brasileiro,ABS,SF,2012
Guilherme Santos,W,Points,Pan American,ABS,R1,2013
Roberto Abreu,W,Choke,Pan American,ABS,R2,2013
Leo Nogueira,W,Pts: 2x0,Pan American,ABS,1/4F,2013
Guilherme Santos,W,Pts: 15x0,Pan American,88KG,R1,2013
Max Freitas,W,Pts: 4x2,Pan American,88KG,1/4F,2013
Fabiano Souza,W,Ezekiel,World Champ.,94KG,1/4F,2013
Bruno Cuppari,W,Arm in Ezekiel,BJJ Stars,ABS,SPF,2014
