Opponent,W/L,Method,Competition,Weight,Stage,Year
Andre Galvao,L,Referee Decision,Pan American,ABS,1/4F,2013
Leandro Lo,L,Pts: 6x0,World Champ.,ABS,RDS,2013
Abraham Marte,L,Pts: 8x0,World Champ.,O100KG,R1,2013
Roberto Abreu,L,Pen,ADCC,O99KG,1/4F,2013
James Puopolo,W,Adv,Pan American,ABS,R1,2013
Leandro Lo,W,Referee Decision,Pan American,ABS,R2,2013
Fernando Nara,W,Pts: 2x2, Adv,World Champ.,ABS,RDS,2013
Pedro Mello,W,Points,World Champ.,ABS,RDS,2013
Kitner Mendoga,W,RNC,ADCC,O99KG,R1,2013
Janne-Pekka,W,Armlock f/ crucifix,ADCC,O99KG,R1,2015
Dean Lister,W,Referee Decision,ADCC,O99KG,1/4F,2015
Vinny Magalhaes,W,Referee Decision,ADCC,O99KG,SF,2015
Jared Dopp,W,Referee Decision,ADCC,O99KG,F,2015
