Opponent,W/L,Method,Competition,Weight,Stage,Year
Marcel Fortuna;L;Armbar;AZ Open;ABS;SF;2010
Bruno Frazatto;L;Pts: 4x2;Pan American;70KG;1/4F;2011
Rubens Charles;L;Inverted triangle;European Open;70KG;SF;2013
Mario Reis;L;Pts: 6x2;World Champ.;70KG;1/4F;2013
Eduardo Telles;L;Pts: 4x0;NoGi American Nat.;ABS;SF;2013
Justin Rader;L;Referee Decision;NoGi Worlds;70KG;F;2013
Victor Estima;L;Pts: 8x2;IBJJF Pro League;82KG;SF;2013
Guilherme Mendes;L;Points;SF Open;70KG;SF;2013
Gustavo Dias;L;Kneebar;SF Open;ABS;SF;2013
Mario Reis;L;Pts: 6x4;Pan American;70KG;SF;2014
Gianni Grippo;L;Pts: 2x0;World Pro.;70KG;R1;2014
Italo Lins;L;Pts: 2x0;World Champ.;70KG;RDS;2014
Gianni Grippo;L;Pts: 2x0;SF Open;70KG;F;2014
Keenan Cornelius;L;Triangle;SF Open;ABS;F;2014
James Puopolo;L;Choke;Dallas Open;ABS;SF;2014
Gianni Grippo;L;Referee Decision;NYC Pro;70KG;SF;2014
Rafael Mendes;L;Choke from back;Berkut Open;ABS;SPF;2015
Rafael Mendes;L;RNC;Berkut Open NoGi;ABS;SPF;2015
Gianni Grippo;L;Pts: 6x4;Pan American;70KG;F;2015
Rubens Charles;L;Pts: 3x0;World Champ.;70KG;1/4F;2015
Paulo Miyao;L;Pts: 6x4;Grand Slam LA;69KG;SF;2015
Leo Nogueira;L;Pts: 9x0;Atlanta Open;ABS;F;2016
Paulo Miyao;L;Pts: 6x6, Adv;Pan American;70KG;F;2016
Rafael Mendes;L;Triangle armbar;World Champ.;70KG;SF;2016
AJ Sousa;L;Armbar;American Nats;76KG;F;2016
Edwin Najmi;L;Referee Decision;Berkut 3;ABS;SPF;2016
Kevin Mahecha;L;Adv;Guatemala Open;76KG;F;2016
Ryan Beauregard;W;Points;AZ Open;ABS;1/4F;2010
Chris Westfall;W;Choke from back;Pan American;70KG;1/8F;2011
Gustavo Carpio;W;DQ;American Nationals;70KG;SF;2011
Della Monica;W;Points;No Gi Nationals;70KG;SF;2011
Lahat Noadya;W;Triangle;Las Vegas Open;70KG;SF;2011
Nate Diaz;W;Toe hold;Gracie Open;ABS;SPF;2012
Marcos Torregrosa;W;Points;American Cup;70KG;F;2012
J. Echeverria;W;Toe hold;Pan American;70KG;R1;2012
Unknown;W;Points;No Gi Nationals;70KG;1/4F;2012
Della Monica;W;Points;No Gi Nationals;70KG;SF;2012
Sidemar Honorio;W;Points;NoGi Pan American;70KG;R1;2012
Steven Rosenberg;W;Pts: 2x0;American Nationals;70KG;SF;2012
Della Monica;W;Points;American Nationals;70KG;F;2012
Ramiro Camacho;W;DQ;US Open XVIII;76KG;F;2013
David Lemes;W;Pts: 2x0;European Open;70KG;1/4F;2013
Rodrigo Freitas;W;Points;SD Pro Trials;74KG;SF;2013
Choi Choi;W;Points;SD Pro Trials;74KG;F;2013
Italo Lins;W;N/A;Pan American;70KG;R1;2013
Della Monica;W;Referee Decision;LV Summer Open;70KG;F;2013
Geoffrey Villarreal;W;Pts: 2x0;American Nationals;70KG;RR;2013
Geoffrey Villarreal;W;Points;NoGi American Nat.;70KG;SF;2013
Rodrigo Freitas;W;Pts: 2x0;NoGi American Nat.;ABS;1/4F;2013
John Nam Cho;W;Points;NoGi Pan American;70KG;SF;2013
Baret Yoshida;W;Pts: 6x2;NoGi Worlds;70KG;1/4F;2013
Carlos Esquisito;W;Points;NoGi Worlds;70KG;SF;2013
Choi Choi;W;Points;SF Open;ABS;1/4F;2013
Fletcher Linton Jr;W;Choke;NY Summer Op.;70KG;SF;2013
Renan Borges;W;DQ;NY Summer Op.;70KG;F;2013
AJ Agazarm;W;Adv;Las Vegas Open;76KG;SF;2013
Della Monica;W;Points;Las Vegas Open;76KG;F;2013
Antonio Antoniolli;W;Pts: 4x0;Las Vegas Open;ABS;1/4F;2013
Eliot Kelly;W;Triangle;Las Vegas Open;ABS;SF;2013
Luke Hacker;W;Footlock;Pan American;70KG;R1;2014
Justin Rader;W;Pts: 4x0;Pan American;70KG;1/4F;2014
Lance Glynn;W;Pts: 7x0;American Cup;76KG;F;2014
Lance Glynn;W;Points;American Cup;ABS;1/4F;2014
Eliot Kelly;W;Pts: 0x0, Adv;American Cup;ABS;SF;2014
Marcel Fortuna;W;Pts: 0x0, Adv;American Cup;ABS;F;2014
Paul Barbosa;W;Triangle;World Champ.;64KG;RDS;2014
Gianni Grippo;W;Referee Decision;SF Open;ABS;SF;2014
Arnaldo Maidana;W;Omoplata;Dallas Open;ABS;1/4F;2014
Travis Orr;W;Toe hold;Dallas Open;70KG;SF;2014
Choi Choi;W;Points;American Nat.;76KG;SF;2014
Andris Brunovskis;W;DQ;American Nat.;76KG;F;2014
Choi Choi;W;Points;Am. Nat. NoGi;70KG;1/4F;2014
Rodrigo Freitas;W;Pts: 2x0;Am. Nat. NoGi;70KG;SF;2014
Gianni Grippo;W;Pts: 2x2, Adv;No Gi Pan Am.;70KG;SF;2014
Arther dane;W;Pts: 4x0;No Gi Worlds;70KG;1/4F;2014
Gianni Grippo;W;Referee Decision;No Gi Worlds;70KG;SF;2014
Ivaniel Oliveira;W;Choke from back;IBJJF Pro League;70KG;SF;2014
Paulo Miyao;W;Referee Decision;IBJJF Pro League;70KG;F;2014
Vitor Atalla;W;Choke from back;Pan American;70KG;R1;2015
Fabio Caloi;W;Pts: 0x0, Adv;Pan American;70KG;1/4F;2015
Leo Saggioro;W;Pts: 0x0, Adv;Pan American;70KG;SF;2015
Victor Genovesi;W;Pts: 4x2;World Champ.;70KG;1/8F;2015
Vinny Di Lucia;W;Choke from back;BJJ All Stars;82KG;SF;2015
Vitor Paschoal;W;Pts: 6x4;BJJ All Stars;82KG;F;2015
AJ Sousa;W;Points;American Nat.;76KG;1/4F;2015
Kevin Mahecha;W;Armbar;American Nat.;76KG;SF;2015
Wellington Dias;W;Omoplata;LV Summer Open;76KG;F;2015
Joao Miyao;W;Points;GT Open;ABS;SPF;2015
Rafael Panato;W;Points;GT Open;76KG;SF;2015
Joao Miyao;W;Pts: 6x4;GT Open;76KG;F;2015
Vitor Paschoal;W;Referee Decision;Grand Slam LA;69KG;3RD;2015
Berndt Forsell;W;Omoplata;NoGi Worlds;70KG;1/8F;2015
Kim Terra;W;Referee Decision;NoGi Worlds;70KG;1/4F;2015
Paulo Miyao;W;Pts: 8x8, Adv;NoGi Worlds;70KG;SF;2015
Joao Miyao;D;---;Berkut 2;ABS;SPF;2015
Jason Lawrence;W;N/A;Atlanta Open;76KG;SF;2016
Diego Bispo;W;N/A;Atlanta Open;76KG;F;2016
Sergio Hernandes;W;N/A;Pan American;70KG;1/8F;2016
Isaque Paiva;W;Pts: 8x8, Adv;Pan American;70KG;1/4F;2016
Marcio Andre;W;Loop choke;Pan American;70KG;SF;2016
Fabio Caloi;W;Armbar;World Champ.;70KG;R2;2016
Gabriel Marangoni;W;Pts: 2x0;World Champ.;70KG;1/4F;2016
Royi Neeman;W;Toe hold;British National;76KG;SF;2016
Max Campos;W;Choke from back;British National;76KG;F;2016
Royi Neeman;W;Armbar;Brit. No-Gi Nat.;73KG;SF;2016
Ross Nicholls;W;Points;Brit. No-Gi Nat.;73KG;F;2016
Omar French;W;N/A;American Nats;76KG;1/4F;2016
Marcus Wilson;W;N/A;American Nats;76KG;SF;2016
Isaac Doederlein;D;---;Guatemala Open;ABS;SPF;2016
Ricardo P.;W;Brabo choke;Guatemala Open;76KG;1/4F;2016
Kim Terra;W;Points;Guatemala Open;76KG;SF;2016
Ashley Williams;W;Kneebar;NoGi Worlds;67KG;1/4F;2016
Kim Terra;W;Pts: 0x0, Adv;NoGi Worlds;67KG;SF;2016
