Opponent,W/L,Method,Competition,Weight,Stage,Year
Alexandre Ribeiro,L,Triangle,Grapplers Quest,ABS,1/4F,2002
Vitor Shaolin,L,Points,ADCC,77KG,1/4F,2003
Marcelo Garcia,L,Wristlock,ADCC,77KG,F,2005
Marcelo Garcia,L,North south choke,ADCC,77KG,F,2007
Andre Galvao,L,Pts: 2x0,ADCC,88KG,SF,2011
Andre Galvao,L,Toe Hold,ADCC,ABS,F,2011
Rafael Lovato,L,Pts: 4x0,No Gi Worlds,88KG,F,2011
Ezra Lenon,L,Points,NoGi Pan American,88KG,SF,2012
Rafael Lovato,L,Points,ADCC,88KG,SF,2013
Keenan Cornelius,L,Verbal tap,ADCC,88KG,3PLC,2013
Marcio Feitosa,W,Points,ADCC,77KG,R1,2003
Kenny Florian,W,Points,GQ USA Trials,N/A,SF,2003
N. Phungephorn,W,Points,GQ USA Trials,N/A,F,2003
Chris Bowles,W,Points,Texas Challenge,78KG,1/4F,2004
Eric Davila,W,Points,Texas Challenge,78KG,SF,2004
Diego Sanchez,W,Points,Texas Challenge,78KG,F,2004
Renzo Gracie,W,Pts: 4x0,ADCC,77KG,R1,2005
Roan Jucao,W,Pts: 2x0,ADCC,77KG,1/4F,2005
Jake Shields,W,Pts: 5x0,ADCC,77KG,SF,2005
Gary Grate,W,Pts: 2x0,GQ All Star Pro,81KG,1/4F,2007
Sean Sprangler,W,Pts: 2x0,GQ All Star Pro,81KG,SF,2007
Saulo Ribeiro,W,Pts: 0x0, Adv,GQ All Star Pro,81KG,F,2007
Eric Dahlberg,W,Points,ADCC,77KG,R1,2007
Andre Galvao,W,Points,ADCC,77KG,SF,2007
Daniel Moraes,W,Points,World NoGi,79KG,F,2007
Don Ortega,W,RNC,ADCC,77KG,R1,2009
Ben Askren,W,Toe hold,ADCC,77KG,1/4F,2009
Gregor Gracie,W,Pts: 3x0,ADCC,77KG,SF,2009
Marcelo Garcia,W,Pts: 3x0,ADCC,77KG,F,2009
Ben Baxter,W,RNC,No Gi Worlds,86KG,1/4F,2010
Murilo Santana,W,Points,No Gi Worlds,86KG,SF,2010
Daniel Moraes,W,Pts: 6x0,No Gi Worlds,86KG,F,2010
Flavio Almeida,W,Pts: 2x0,No Gi Worlds,ABS,1/8F,2010
Caio Terra,W,RNC,No Gi Worlds,ABS,1/4F,2010
Zbigniew Tyszka,W,Points,ADCC,88KG,R1,2011
Sergio Moraes,W,Pts: 2x0,ADCC,88KG,1/4F,2011
Rafael Lovato,W,Points,ADCC,88KG,3PLC,2011
Janne-Pekka,W,Points,ADCC,ABS,R1,2011
Victor Estima,W,Pts: 2x0,ADCC,ABS,1/4F,2011
Alexandre Ribeiro,W,Referee Decision,ADCC,ABS,SF,2011
Ben Baxter,W,Pts: 2x0,No Gi Worlds,88KG,1/4F,2011
Unknown,W,Pts: 2x0,No Gi Worlds,88KG,SF,2011
Bruno Antunes,W,Pts: 2x0,NoGi Worlds,88KG,1/4F,2012
Ezra Lenon,W,Pts: 0x0, Adv,NoGi Worlds,88KG,SF,2012
Romulo Barral,W,Pts: 3x0,NoGi Worlds,88KG,F,2012
Doorwang Jeon,W,Pts: 3x0,ADCC,88KG,R1,2013
David Avellan,W,Armbar,ADCC,88KG,1/4F,2013
Eduardo Rios,D,---,Polaris,ABS,SPF,2015
Zbigniew Tyszka,W,RNC,ADCC,88KG,R1,2015
