Opponent,W/L,Method,Competition,Weight,Stage,Year
Jimmy Gusmao,L,Armbar,Estadual Macae,ABS,F,2014
Gregor Gracie,L,Adv,Copa Podio,85KG,GP,2014
Erberth S.,D,N/A,Copa Podio,85KG,GP,2014
Luiz Panza,L,Pts: 11x4,Copa Podio,85KG,GP,2014
Gustavo Campos,L,Armbar,World Champ.,88KG,1/4F,2015
Lucas Barbosa,L,Pts: 2x0,NoGi Worlds,88KG,1/8F,2015
Felipe Pena,L,Armbar,NoGi Worlds,ABS,R2,2015
Renato Cardoso,L,Footlock,South American,ABS,1/4F,2015
Otavio Nalati,L,Shoulder pressure,Grand Slam - Rio,ABS,R1,2015
Luan Carvalho,L,Pts: 0x0, Adv,Copa Podio,77KG,GP,2016
Dillon Danis,L,Pts: 2x2, Adv,Copa Podio,77KG,GP,2016
Diego Borges,L,Pts: 2x0,Copa Podio,77KG,GP,2016
Gabriel Arges,L,Referee Decision,European Open,88KG,SF,2016
Romulo Barral,L,Cross choke,European Open,ABS,1/4F,2016
Andre Galvao,L,Pts: 0x0, Adv,World Pro,ABS,R1,2016
Leandro Lo,L,Pts: 4x2,World Pro,85KG,1/4F,2016
Renato Cardoso,L,Points,Brasileiro,88KG,F,2016
Pedro Moura,L,Pts: 0x0, Adv,Brasileiro,ABS,1/8F,2016
Romulo Barral,L,Cross choke,World Champ.,88KG,SF,2016
Erberth Santos,L,Kneebar,Rio Winter Open,ABS,F,2016
Mario Netto,W,Pts: 2x2, Adv,Estadual Macae,ABS,SF,2014
Thiago Sa,W,Pts: 6x4,Copa Podio,85KG,GP,2014
Romeu Mendes,W,Choke from back,Brasileiro NoGi,85KG,1/4F,2015
Claudio Mattos,W,Pts: 3x2,Brasileiro NoGi,85KG,SF,2015
Evandro Nunes,W,Toe hold,NoGi Worlds,ABS,R1,2015
Eraldo Santos,W,Pts: 7x2,South American,ABS,R1,2015
Unknown,W,Pts: 8x0,South American,ABS,1/8F,2015
William Martins,W,Lapel choke,South American,88KG,SF,2015
Renato Cardoso,W,Pts: 2x2, Adv,South American,88KG,F,2015
Gareth Neale,W,Pts: 9x0,Grand Slam - Rio,85KG,1/8F,2015
Carlos Reis,W,Pts: 14x0,Grand Slam - Rio,85KG,1/4F,2015
Diogo Sampaio,W,Points,Grand Slam - Rio,85KG,SF,2015
Edwin Najmi,W,Pts: 2x0,Copa Podio,77KG,GP,2016
Giacomo Zanini,W,Palm-to-palm ck.,European Open,88KG,R1,2016
Rodrigo Fajardo,W,Pts: 9x4,European Open,88KG,1/4F,2016
Edivaldo Nguebuza,W,Cross ck. f/ mount,European Open,ABS,R1,2016
Pedro Moura,W,Armbar,European Open,ABS,R2,2016
Tyler Bishop,W,Pts: 2x0,World Pro,85KG,R1,2016
Karol Dzienisze,W,Estima lock,World Pro,85KG,1/8F,2016
Aribene Ramos,W,N/A,Brasileiro,88KG,1/8F,2016
Diego Ramalho,W,N/A,Brasileiro,88KG,1/4F,2016
Ruan Oliveira,W,Pts: 7x0,Brasileiro,88KG,SF,2016
Romes Ramos,W,N/A,Brasileiro,ABS,RD,2016
Steve Patterson,W,Palm to palm,World Champ.,88KG,1/8F,2016
Tarsis Humphreys,W,Pts: 0x0, Adv,World Champ.,88KG,1/4F,2016
A. Tomei,W,Choke from back,Rio Winter Open,88KG,1/4F,2016
Ruan Oliveira,W,Points,Rio Winter Open,88KG,SF,2016
Rodrigo Fajardo,W,Pts: 6x2,Rio Winter Open,88KG,F,2016
Fernando Reis,W,N/A,Rio Winter Open,ABS,SF,2016
Matheus Spirandeli,W,Referee Decision,Curitiba W. Open,88KG,F,2016
Joao Chiozzi,W,Choke,Sao Paulo Open,88KG,SF,2016
Matheus Spirandeli,W,Adv,Sao Paulo Open,88KG,F,2016
