Opponent,W/L,Method,Competition,Weight,Stage,Year
Eduardo Telles,L,Pts: 2x0,Pan American,94KG,SF,2006
Roger Gracie,L,Armbar,Pan American,ABS,SF,2006
Romulo Barral,L,Points,Pan American,ABS,SF,2007
Demian Maia,L,Points,ADCC,88KG,1/4F,2007
Braga Neto,L,Pts: 2x2, Adv,World Champ.,ABS,R1,2007
Flavio Almeida,L,Pts: 2x0,NoGi Pan Am.,100KG,SF,2007
Luiz Theodoro,L,Pts: 2x0,Super Challenge,ABS,R1,2007
Mario Sukata,L,Referee Decision,10k Challenge,ABS,GP,2007
Braulio Estima,L,Armbar,10k Challenge,ABS,SF,2007
Braga Neto,L,Pts: 5x0,World Champ.,100KG,F,2008
Andre Galvao,L,Choke from back,World Champ.,ABS,1/4F,2008
Braulio Estima,L,Pts: 5x0,World Pro.,ABS,1/4F,2009
Rubens Charles,L,Pts: 2x0,Pan American,ABS,1/4F,2009
Braulio Estima,L,Estima lock,ADCC,88KG,SF,2009
David Avellan,L,Footlock,ADCC,88KG,3RD,2009
Alexandre Souza,L,Pts: 2x0,World Champ.,94KG,SF,2009
Roger Gracie,L,Cross choke,World Champ.,ABS,1/4F,2009
Braga Neto,L,Pts: 0x0, Adv,NoGi Worlds,100KG,F,2009
Bernardo Faria,L,Pts: 3x0,Brasileiro,ABS,F,2010
Bernardo Faria,L,Points,World Champ.,94KG,SF,2010
Lucio Rodrigues,L,Pts: 6x2,European,100KG,F,2011
Bernardo Faria,L,Pts: 2x0,World Champ.,ABS,1/4F,2011
Rodolfo Vieira,L,Pts: 20x2,World Champ.,94KG,SF,2011
Rousimar Palhares,L,Heel hook,ADCC,88KG,SF,2011
Pablo Popovitch,L,Points,ADCC,88KG,3PLC,2011
Roberto Alencar,L,N/A,European Open,94KG,SF,2012
Bernardo Faria,L,Pts: 4x2,European Open,ABS,SF,2012
Yuri Simoes,L,Adv,Pan American,94KG,SF,2012
Vitor Toledo,L,Adv,World Pro.,88KG,SF,2012
Romulo Barral,L,Pts: 5x2,World Champ.,88KG,SF,2012
Roberto Alencar,L,Referee Decision,NoGi Worlds,94KG,F,2012
Andre Galvao,L,Referee Decision,Metamoris 2,ABS,SPF,2013
Dimitrius Souza,L,Pts: 2x0,Brasileiro,94KG,1/4F,2013
Joao Rocha,L,Pts: 10x0,World Champ.,100KG,SF,2013
Romulo Barral,L,Points,ADCC,88KG,F,2013
Lucio Rodrigues,L,Pts: 2x0,European,100KG,F,2014
Yuri Simoes,L,Adv,Pan American,94KG,SF,2014
Andre Galvao,L,Pts: 5x0,World Champ.,94KG,SF,2014
Rustam Chsiev,L,Referee Decision,ADCC,88KG,1/4F,2015
Eduardo Telles,W,Pts: 2x0,Pan American,ABS,1/4F,2006
Nolan Dutcher,W,RNC,GQ All Star Pro,91KG,1/4F,2006
Dave Branch,W,Referee Decision,GQ All Star Pro,91KG,SF,2006
Chris Moriarty,W,RNC,GQ All Star Pro,91KG,F,2006
Lee Synowski,W,Pts: 4x0,Budweiser Champ.,ABS,1/4F,2007
Ian McPherson,W,RNC,Budweiser Champ.,ABS,SF,2007
Chris Moriarty,W,Injury,Budweiser Champ.,ABS,F,2007
Braga Neto,W,Pts: 4x2,Brasileiro,100KG,SF,2007
Roberto Abreu,W,Pts: 4x0,Brasileiro,100KG,F,2007
Unknown,W,Triangle,Pan American,100KG,R1,2007
Rodrigo Teixeira,W,Brabo choke,Pan American,100KG,1/4F,2007
Unknown,W,Brabo choke,Pan American,100KG,SF,2007
Cristiano Lazzarini,W,Pts: 2x0,Pan American,100KG,F,2007
Marko Helen,W,Armbar,ADCC,88KG,R1,2007
