Opponent,W/L,Method,Competition,Weight,Stage,Year
Rubens Charles;L;Points;Capital Challenge;70KG;F;2008
Rubens Charles;L;DQ;Pan American;70KG;SF;2009
Rubens Charles;L;Referee Decision;World Champ.;70KG;SF;2009
Augusto Mendes;L;Referee Decision;World Pro.;65KG;F;2011
Rodolfo Vieira;L;Referee Decision;World P. NoGi;ABS;F;2011
Augusto Mendes;L;Pts: 2x2, Adv;World Champ.;70KG;F;2013
Rubens Charles;L;Referee Decision;ADCC;66KG;F;2013
Clark Gracie;D;N/A;Metamoris 3;ABS;SPF;2014
Michael Reyna;W;Choke;Capital Challenge;70KG;1/4F;2008
Mario Reis;W;Points;Capital Challenge;70KG;SF;2008
Katsuya Toida;W;RNC;Deep X III;NA;SPF;2009
Van Baardewijk;W;Triangle;World Pro.;65KG;R1;2009
Robson Moura;W;Points;World Pro.;65KG;1/4F;2009
Renato Tavares;W;Pts: 6x0;World Pro.;65KG;SF;2009
Rubens Charles;W;Points;World Pro.;65KG;F;2009
Rodrigo Ranieri;W;Pts: 14x6;Pan American;70KG;1/4F;2009
Jayson Patino;W;Triangle;ADCC;66KG;R1;2009
Justin Rader;W;Anaconda;ADCC;66KG;1/4F;2009
Leonardo Vieira;W;RNC;ADCC;66KG;SF;2009
Rubens Charles;W;Points;ADCC;66KG;F;2009
Carlos Lemos;W;Pts: 4x0;World Champ.;70KG;1/4F;2009
Wellington Dias;W;Armbar;European;70KG;SF;2010
Renan Borges;W;Pts: 2x0;European;70KG;F;2010
Denilson Pimenta;W;Pts: 2x0;WPC SD trials;65KG;SF;2010
Denilson Pimenta;W;Choke from back;WPC Gr Trials;65KG;SF;2010
Theodoro Canal;W;Choke from back;WPC Gr Trials;65KG;F;2010
Guilherme Mendes;W;Pts: 4x2;World Pro.;65KG;F;2010
Rubens Charles;W;Pts: 4x2;Brasileiro;70KG;F;2010
Ryan Hall;W;Pts: 5x2;World Champ.;70KG;R1;2010
Gustavo Caprio;W;Choke from back;World Champ.;70KG;R2;2010
Daisuke Nakamura;W;Armbar;World Champ.;70KG;1/4F;2010
Denilson Pimenta;W;Choke from back;World Champ.;70KG;SF;2010
Rubens Charles;W;Pts: 4x4, Adv;World Champ.;70KG;F;2010
Marcelino Freitas;W;Brabo choke;World Pro.;65KG;R1;2011
Gustavo Falciroli;W;Choke from back;World Pro.;65KG;1/4F;2011
Bruno Malfacine;W;Pts: 7x0;World Pro.;65KG;SF;2011
Gilmar Oliveira;W;Points;World P. NoGi;ABS;1/4F;2011
Daisuke Nakamura;W;Choke;World Champ.;70KG;RDS;2011
Justin Rader;W;Choke;World Champ.;70KG;RDS;2011
Leonardo Saggioro;W;Inverted triangle;World Champ.;70KG;1/4F;2011
Mario Reis;W;Pts: 4x2;World Champ.;70KG;SF;2011
Augusto Mendes;W;Pts: 4x4, Adv;World Champ.;70KG;F;2011
Bruno Frazatto;W;Pts: 6x0;ADCC;66KG;R1;2011
Justin Rader;W;RNC;ADCC;66KG;1/4F;2011
Robson Moura;W;Points;ADCC;66KG;SF;2011
Rubens Charles;W;Pen;ADCC;66KG;F;2011
Andre Monteiro;W;Armbar;Pan American;70KG;1/4F;2012
Justin Rader;W;Triangle;Pan American;70KG;1/4F;2012
Mario Reis;W;Wristlock;Pan American;70KG;SF;2012
Rubens Charles;W;Armbar;Pan American;70KG;F;2012
Sandro â€œBatataâ€;W;Brabo choke;World Champ.;70KG;R2;2012
Cristiano Renato;W;Kimura;World Champ.;70KG;R3;2012
Takayuki Koyama;W;Choke from back;World Champ.;70KG;1/4F;2012
Mario Reis;W;Pts: 2x0;World Champ.;70KG;SF;2012
Rubens Charles;W;Referee Decision;World Champ.;70KG;F;2012
Andre Monteiro;W;Brabo choke;Houston Open;70KG;F;2012
Renato Vieira;W;Armbar;Pan American;70KG;1/4F;2013
Mario Reis;W;Pts: 2x0;Pan American;70KG;SF;2013
Rubens Charles;W;Referee Decision;Pan American;70KG;F;2013
Mayko Borges;W;Armbar;World Champ.;70KG;1/4F;2013
Mario Reis;W;Adv;World Champ.;70KG;SF;2013
Y. Takahito;W;Kimura;ADCC;66KG;R1;2013
Tetsu Suzuki;W;Armbar;ADCC;66KG;1/4F;2013
Joao Miyao;W;Pts: 2x0;ADCC;66KG;SF;2013
Geoffrey Villareal;W;Armbar;SF Open;70KG;SF;2013
Gustavo Carpio;W;Wristlock;Houston Open;70KG;SF;2013
Unknown;W;Triangle armbar;Rickson Cup;70KG;1/4F;2013
Unknown;W;Armbar;Rickson Cup;70KG;SF;2013
Unknown;W;Armbar;Rickson Cup;70KG;F;2013
Gianni Grippo;W;Pts: 3x0;European;70KG;SF;2014
Paulo Miyao;W;Pts: 3x0;European;70KG;F;2014
Tumas Kristen;W;Choke from back;World Champ.;70KG;RDS;2014
Nicollas Araujo;W;Choke from back;World Champ.;70KG;RDS;2014
Gianni Grippo;W;Choke from back;World Champ.;70KG;1/4F;2014
Mario Reis;W;Choke from back;World Champ.;70KG;SF;2014
Rubens Charles;W;Pts: 10x8;World Champ.;70KG;F;2014
Yagi Vicente;W;Triangle armbar;Rickson Cup;70KG;R1;2014
Tsukada Ichitaro;W;Wristlock;Rickson Cup;70KG;R2;2014
Hirao Yuto;W;Cross choke;Rickson Cup;70KG;1/4F;2014
Okamoto Yuji;W;Armbar;Rickson Cup;70KG;SF;2014
Charles Gaspar;W;Bow and arrow;Rickson Cup;ABS;SF;2014
Osvaldo Moizinho;W;Choke from back;Berkut Open;ABS;SPF;2015
Osvaldo Moizinho;W;RNC;Berkut Open NoGi;ABS;SPF;2015
Andre Monteiro;W;Bow and arrow;World Champ.;70KG;1/8F;2015
Phillipe D. Monica;W;Choke from back;World Champ.;70Kg;1/4F;2015
Mario Reis;W;Wristlock;World Champ.;70KG;SF;2015
Rubens Charles;W;Pts: 6x0;World Champ.;70KG;F;2015
Unknown;W;Armbar;Bullterrier Cup;70KG;1/4F;2015
Unknown;W;Armbar;Bullterrier Cup;70KG;SF;2015
Unknown;W;Armbar;Bullterrier Cup;70KG;F;2015
Unknown;W;Armbar;Bullterrier Cup;ABS;1/4F;2015
Anderson Takahashi;W;Armbar;Bullterrier Cup;ABS;SF;2015
Brian Stuebner;W;Armbar;San Antonio Open;70KG;1/4F;2016
Isaac Doederlein;W;Pts: 0x0, Adv;San Antonio Open;70KG;SF;2016
Gabriel Marangoni;W;Pts: 12x0;San Antonio Open;70KG;F;2016
Vitor Paschoal;W;Armbar;Las Vegas Open;70KG;SF;2016
Samir Chantre;W;Armbar;Las Vegas Open;70KG;F;2016
Ichitaro Tsukada;W;Choke from back;World Champ.;70KG;R2;2016
Leo Saggioro;W;Pts: 6x0;World Champ.;70KG;1/4F;2016
Osvaldo Moizinho;W;Triangle armbar;World Champ.;70KG;SF;2016
Marcio Andre;W;Pts: 10x10, Adv;World Champ.;70KG;F;2016
