Opponent,W/L,Method,Competition,Weight,Stage,Year
Leonardo Vieira,L,Pts: 9x0,ADCC,66KG,1/4F,2003
Mario Reis,L,Omoplata,World Cup,70KG,R1,2004
Leonardo Vieira,L,Pts: 6x0,ADCC,66KG,F,2005
Lucas Leite,L,Pts: 8x3,GQ All Star Pro,72KG,SF,2007
Rubens Charles,L,Kimura,ADCC,66KG,SF,2009
Lachlan Gilles,L,Armbar,EBI 5,70KG,1/4F,2015
Teemu Launis,W,Submission,ADCC,66KG,R1,2003
Mario Delgado,W,N/A,ADCC,66KG,R1,2005
Wagnney Fabiano,W,N/A,ADCC,66KG,1/4F,2005
Marcio Feitosa,W,N/A,ADCC,66KG,SF,2005
Daniel Aguilar,W,RNC,GQ All Star Pro,72KG,1/4F,2006
Wilson Reis,W,Pts: 11x2,GQ All Star Pro,72KG,SF,2006
Rob Di Censo,W,Arm in guillotine,GQ All Star Pro,72KG,F,2006
Joe Stevenson,W,Pts: 7x0,GQ All Star Pro,72KG,1/4F,2007
Darrel Moodley,W,Submission,ADCC,66KG,R1,2007
Bruno Chavez,W,Points,ADCC,66KG,1/4F,2007
Baret Yoshida,W,Points,ADCC,66KG,SF,2007
Leonardo Vieira,W,RNC,ADCC,66KG,F,2007
Kouhei Yasumi,W,Choke,ADCC,66KG,R1,2009
Jeff Glover,W,Points,ADCC,66KG,1/4F,2009
Jason Buzzard,W,Guillotine,EBI 5,70KG,R1,2015
