Opponent,W/L,Method,Competition,Weight,Stage,Year
Wallid Ismail;L;Pts: 6x0;Desafio WxR;82KG;SPF;1993
Egan Inoue;L;Pts: 2x0;ADCC;88KG;1/4F;1999
Marcelo Garcia;L;Pts: 9x0;ADCC;77KG;1/4F;2003
Pablo Popovitch;L;Pts: 4x0;ADCC;77KG;R1;2005
Mario Sperry;L;Pts: 2x0;ADCC;ABS;SPF;2011
De La Riva;W;Adv;Brasileiro;76KG;NA;1993
Alexandre Paiva;W;Referee Decision;Atlantico Sul;82KG;SF;1994
Rogerio;W;Bread cutter;Atlantico Sul;82KG;F;1994
Frank Trigg;W;Referee Decision;ADCC;77KG;R1;1998
Rodrigo Modrias;W;Pts: 3x0;ADCC;77KG;1/4F;1998
Fabiano Iha;W;Pts: 3x0;ADCC;77KG;SF;1998
Luis Brito;W;Guillotine;ADCC;77KG;F;1998
Fan Yi;W;Submission;ADCC;88KG;R1;1999
Dennis Hallman;W;Pts: 7x0;ADCC;77KG;R1;2000
Israel Albuquerque;W;Pts: 3x0;ADCC;77KG;1/4F;2000
Marcio Feitosa;W;Guillotine;ADCC;77KG;SF;2000
JJ Machado;W;Adv;ADCC;77KG;F;2000
Chris Brown;W;Adv;ADCC;88KG;R1;2001
G. Sotiropoulos;W;Points;ADCC;77KG;R1;2003
Sakuraba;D;---;Metamoris 5;ABS;SPF;2014
