Opponent,W/L,Method,Competition,Weight,Stage,Year
Alexandre Ribeiro,L,Armbar,World Cup,100KG,SF,2005
Roger Gracie,L,Ezekiel,World Champ.,100KG,F,2009
Roger Gracie,L,Pts: 13x2,World Champ.,100KG,F,2010
Dean Lister,L,Heel hook,Grapplers Quest,ABS,NA,2012
Rodolfo Vieira,L,Adv,Copa Podio,ABS,SPF,2013
Rafael Lovato,L,Arm in guillotine,F2W Pro 3,ABS,SPF,2016
Unknown,W,Armbar,World Cup,100KG,NA,2005
Unknown,W,Armbar,Brazilian Cup,100KG,NA,2006
F. Santoro,W,Armbar,Brazilian Cup,100KG,NA,2006
Fernando Di Piero,W,Cross choke,Brazilian Cup,100KG,NA,2006
Isaque Paiva,W,armbar,Brasileiro CBJJE,ABS,F,2009
Antonio Peinado,W,Pts: 12x0,World Champ.,100KG,1/4F,2009
Diego Herzog,W,Points,South American,ABS,F,2009
Fernando Piero,W,Choke,European,100KG,F,2010
Alexandre Souza,W,Pts: 3x0,WPC SD trials,O92KG,F,2010
Gabriel Vella,W,Pts: 2x0,World Pro.,O92KG,F,2010
Augusto Ferrari,W,Points,World Champ.,100KG,1/4F,2010
Roberto Alencar,W,Choke,World Champ.,100KG,SF,2010
