Opponent,W/L,Method,Competition,Weight,Stage,Year
Murilo Bustamante;L;Pts: 2x0;ADCC;99KG;1/4F;1999
Matt Hughes;L;Pen;ADCC;99KG;R1;2000
Mark Kerr;L;Pts: 3x0;ADCC;ABS;SF;2000
Ricardo Arona;L;Pen;ADCC;99KG;F;2001
JJ Machado;L;Pts: 3x0;ADCC;ABS;SF;2001
Jeff Monson;L;Referee Decision;Grapplers Quest;ABS;SF;2002
Ronaldo Souza;L;Pts: 6x0;ADCC;88KG;SF;2003
David Terrell;L;Botinha;ADCC;88KG;3PLC;2003
Gao Hua;W;Submission;ADCC;99KG;R1;1999
Rigan Machado;W;Choke;ADCC;99KG;3PLC;1999
Josh Barnet;W;Guillotine;ADCC;ABS;R1;2000
Vitor Shaolin;W;Kneebar;ADCC;ABS;1/4F;2000
Rodrigo Comprido;W;Pts: 5x0;ADCC;ABS;3PLC;2000
Y. Setsenko;W;RNC;ADCC;99KG;R1;2001
Dean Lister;W;Pts: 3x0;ADCC;99KG;1/4F;2001
A. Cacareco;W;Pts: 2x0;ADCC;99KG;SF;2001
Marshurenko;W;Points;ADCC;ABS;R1;2001
M. Van Arsdale;W;Armbar;ADCC;ABS;1/4F;2001
Dean Lister;W;Points;Grapplers Quest;ABS;1/4F;2002
Davion Peterson;W;Guillotine;ADCC;88KG;R1;2003
Andy Reese;W;Points;ADCC;88KG;1/4F;2003
