Opponent,W/L,Method,Competition,Weight,Stage,Year
Fabio Gurgel;L;Pts: 3x0;World Champ.;94KG;F;2000
Rodrigo Comprido;W;Pts: 2x0;World Champ.;94KG;SF;2000
H. Kanehara;W;Kneebar;ADCC;99KG;R1;2000
Kareem Barkalev;W;Adv;ADCC;99KG;1/4F;2000
Tito Ortiz;W;Pts: 2x0;ADCC;99KG;SF;2000
Jeff Monson;W;Pen;ADCC;99KG;F;2000
R. Mashurenko;W;Pts: 2x0;ADCC;99KG;R1;2001
R. Babalu;W;Pts: 2x0;ADCC;99KG;1/4F;2001
Olav Einemo;W;Pts: 3x0;ADCC;99KG;SF;2001
Ricardo Almeida;W;Pen;ADCC;99KG;F;2001
Roger Neff;W;Heel hook;ADCC;ABS;R1;2001
Saulo Ribeiro;W;Pts: 2x0;ADCC;ABS;1/4F;2001
Vitor Belfort;W;Pts: 3x0;ADCC;ABS;SF;2001
JJ Machado;W;Pts: 3x0;ADCC;ABS;F;2001
Mark Kerr;W;Points;ADCC;ABS;SPF;2003
