Opponent,W/L,Method,Competition,Weight,Stage,Year
Leandro Lo,L,Bow and arrow,Pan Am CBJJE,ABS,NA,2011
Kron Gracie,L,Botinha,Pan American,ABS,R2,2012
Alexander Trans,L,Toe Hold,Pan American,O100KG,SF,2012
Braga Neto,L,Pts: 5x2,World Pro.,O99KG,SF,2012
Leonardo Leite,L,Pts: 2x2, Adv,World Champ.,O100KG,1/4F,2012
Rafael Lovato,L,Kimura,Brasileiro,ABS,F,2013
Marcus Almeida,L,Pts: 2x0,World Pro,O100KG,SF,2013
Marcus Almeida,L,Ezekiel,World Champ.,ABS,1/4F,2013
Abraham Marte,L,Pts: 2x0,World Champ.,O100KG,1/4F,2013
Joao Rocha,L,Choke from back,Rio Open,ABS,SF,2013
Marcio Cruz,L,Pen,IBJJF Pro League,O94KG,SF,2013
Rodrigo Cavaca,L,Pts: 4x2,European,O100KG,F,2014
Keenan Cornelius,L,Choke from back,World Pro.,ABS,R1,2014
Marcus Almeida,L,N/A,World Pro.,O100KG,SF,2014
Marcus Almeida,L,Pts: 4x4, Adv,World Champ.,ABS,RD 4,2014
Marcus Almeida,L,Choke from back,World Champ.,O100KG,SF,2014
Luiz Panza,L,Armbar,IBJJF Pro League,O100KG,SF,2014
Joao Rocha,L,Points,Rio Fall Open,O100KG,F,2015
Marcus Almeida,L,Guillotine,World Pro,O95KG,SF,2015
Max Carvalho,L,Points,World Pro,ABS,R2,2015
Gabriel Lucas,L,Pts: 0x0, Adv,World Champ.,O100KG,F,2015
Roberto Abreu,L,Pts: 4x2,Grand Slam LA,ABS,SF,2015
Jose Junior,L,Pts: 2x0,World Pro,ABS,1/4F,2016
Arnaldo Maidana,L,Referee Decision,Grand Slam - LA,94KG,SF,2016
Igor Silva,L,Referee Decision,G. Slam NG - LA,108KG,F,2016
Antonio Peinado,W,Referee Decision,Brasileiro,O100KG,F,2011
Kitner Moura,W,Pts: 6x0,Pan American,ABS,R1,2012
Gustavo Elias,W,Submission,Pan American,O100KG,1/4F,2012
Amin Touati,W,N/A,World Pro.,O99KG,1/4F,2012
Roberto Abreu,W,Points,World Champ.,O100KG,R2,2012
Abraham Marte,W,Adv,Brasileiro,O100KG,SF,2013
Guiovanne Guedes,W,N/A,World Champ.,ABS,RDS,2013
James Puopolo,W,N/A,World Champ.,ABS,RDS,2013
Francisco Neto,W,N/A,Rome Open,ABS,SF,2013
Alan Finfou,W,Referee Decision,Rome Open,ABS,F,2013
Levi Duarte,W,N/A,World Pro.,O100KG,1/4F,2014
Alexandre Frota,W,Footlock,World Champ.,ABS,R2,2014
Mario Barbosa,W,Pts: 5x0,World Champ.,O100KG,1/4F,2014
Pedro Moura,W,Toe hold,European,O100KG,1/4F,2015
Chris Bowe,W,Pts: 2x2, Adv,World Pro,O95KG,R1,2015
Andre Campos,W,Toe hold,World Pro,O95KG,1/4F,2015
Walnan Presto,W,Ezekiel,World Champ.,ABS,R1,2015
CÃ¡ssio Francis,W,Points,World Champ.,ABS,R2,2015
Marcus Almeida,W,Pts: 4x4, Adv,World Champ.,ABS,1/8F,2015
Carlos Farias,W,Pts: 2x0,World Champ.,O100KG,1/8F,2015
Gustavo Elias,W,Pts: 3x0,World Champ.,O100KG,1/4F,2015
Lucio Rodrigues,W,Referee Decision,Grand Slam LA,O94KG,SF,2015
Roberto Abreu,W,Pts: 10x0,Grand Slam LA,O94KG,F,2015
Lucio Rodrigues,W,Referee Decision,Grand Slam LA,ABS,1/8F,2015
Fernando Luis,W,Cross choke f/ mount,Grand Slam - Rio,O94KG,1/8F,2015
Junior Jacinto,W,Armbar,Grand Slam - Rio,O94KG,1/4F,2015
Gabriel Lucas,W,Referee Decision,Grand Slam - Rio,O94KG,SF,2015
Philipe Arimatea,W,Armlock,Grand Slam - Rio,ABS,R1,2015
Marcos Conrado,W,Straight armlock,Grand Slam - Rio,ABS,R2,2015
V. Silva,W,Armbar,Grand Slam - Rio,ABS,1/8F,2015
Faisal AlKitbe,W,Pts: 4x0,Grand Slam - Rio,ABS,1/4F,2015
Erberth Santos,W,Referee Decision,Grand Slam - Rio,ABS,SF,2015
Herico Hesley,W,Choke from back,Grand Slam - Rio,ABS,F,2015
Bruno Matias,W,Pts: 0x0, Adv,London Grand Slam,ABS,1/4F,2016
Erberth Santos,W,Guillotine,London Grand Slam,ABS,F,2016
Lucio Rodrigues,W,Pts: 2x0,London Grand Slam,O94KG,F,2016
Rodrigo Caporal,W,Pts: 10x0,World Pro,ABS,R1,2016
Arya Esfandmaz,W,Pts: 16x0,World Pro,ABS,1/8F,2016
Dany Gerard,W,Referee Decision,World Pro,O94KG,1/4F,2016
Roberto Abreu,W,Pts: 0x0, Adv,World Pro,O94KG,1/4F,2016
Lucio Rodrigues,W,Referee Decision,World Pro,O94KG,SF,2016
Victor Honorio,W,Pts: 6x0,World Pro,O94KG,F,2016
Erberth Santos,W,Toe hold,Grand Slam - LA,94KG,3RD,2016
