Opponent,W/L,Method,Competition,Weight,Stage,Year
Sasha Savko;L;Pts: 2x0;ADCC;88KG;SF;1999
Saulo Ribeiro;L;Pen;ADCC;88KG;F;2000
Egan Inoue;L;Referee Decision;ADCC;88KG;1/4F;2001
Leonardo Branco;W;Pts: 2x0;World Champ.;100KG;F;1996
Marcelo Figueiredo;W;Armbar;World Champ.;ABS;R1;1996
Remco Pardoel;W;Armbar;World Champ.;ABS;1/4F;1996
Leonardo Branco;W;Pts: 6x0;World Champ.;ABS;SF;1996
Akihiro Gono;W;Pts: 5x0;ADCC;88KG;R1;1999
Luis Orlando;W;Pts: 16x0;ADCC;88KG;1/4F;1999
Egan Inoue;W;Pts: 3x0;ADCC;88KG;3PLC;1999
Toshiyuki Oyama;W;RNC;ADCC;88KG;R1;2000
Roberto Roleta;W;Pts: 9x0;ADCC;88KG;1/4F;2000
Jorge Patino;W;Injury;ADCC;88KG;SF;2000
Tamura;W;Armbar;ADCC;88KG;R1;2001
