Opponent,W/L,Method,Competition,Weight,Stage,Year
Leonardo Davila;L;Points;Miami Open;ABS;SF;2012
Joao Rocha;L;Submission;World Champ.;ABS;RDS;2013
James Puopolo;L;Kneebar;World Expo;ABS;GP;2013
Rafael Lovato;L;Points;NoGi Worlds;O100KG;SF;2013
Yuri Simoes;L;Pts: 2x0;No Gi Worlds;ABS;RDS;2014
Keenan Cornelius;L;North South choke;No Gi Worlds;88KG;R1;2014
Victor Silverio;L;Pts: 0x0, Adv;Miami Open;88KG;SF;2015
Thiago Sa;L;Referee Decision;Miami Open;ABS;SF;2015
Jurandir Vieira;L;Omoplata;Miami Spring Open;88KG;F;2016
Jaime Canuto;L;Adv;World Champ.;82KG;R2;2016
Leandro Lo;L;Pts: 11x0;World Champ.;ABS;R2;2016
Vitor Toledo;W;DQ;Miami Open;88KG;F;2012
Rafael Barbosa;W;Points;Miami Open;ABS;1/4F;2012
Tanner Rice;W;Points;Miami Pro Trials;85KG;NA;2013
Motta;W;N/A;World Champ.;ABS;RDS;2013
Eliot Kelly;W;Armbar;World Expo;ABS;GP;2013
Travis Stevens;W;Triangle armbar;World Expo;ABS;GP;2013
Alessandro Ferreira;W;Triangle armbar;World Expo;ABS;GP;2013
Jackson Sousa;W;Pts: 0x0, Adv;World Expo;ABS;SF;2013
James Puopolo;W;Toe hold;World Expo;ABS;F;2013
Marcus Vinicius;W;Points;Miami Open;88KG;F;2013
Unknown;W;Triangle armbar;Copa America;ABS;GP;2014
Nic. Recanati;W;Pts: 4x0;Copa America;ABS;GP;2014
Unknown;W;Armbar;Copa America;ABS;GP;2014
AJ Agazarm;W;Pts: 2x2, Adv;No Gi Worlds;ABS;RDS;2014
Danilo Indio;W;Armbar;World Expo;ABS;SPF;2014
Clark Gracie;W;Pts: 11x2;Five Florida;82KG;NA;2014
Kevin Mahecha;W;Pts: 2x0;Five NAIC;ABS;F;2014
Jack Magee;W;Armbar;British Open;88KG;F;2015
Gregor Gracie;W;Americana;Miami Spring Open;88KG;SF;2016
Jollyson Francino;W;Triangle armbar;Miami Spring Open;ABS;1/4F;2016
Victor Silverio;W;Armbar;Miami Spring Open;ABS;SF;2016
Augusto Mugnami;W;Pts: 2x2, Adv;World Champ.;ABS;R1;2016
