Opponent,W/L,Method,Competition,Weight,Stage,Year
Robson Moura;L;Pts: 2x2, Adv;World Cup;64KG;F;2002
Joao Miyao;L;Heel hook;ADCC;66KG;1/4F;2013
Andre Motta;W;N/A;World Champ.;64KG;1/4F;2001
Robson Moura;W;Pts: 6x5;World Champ.;64KG;SF;2001
Daniel Beleza;W;Pts: 0x0, Adv;World Champ.;64KG;F;2001
Marco Galvao;W;Ezekiel;World Cup;64KG;SF;2002
Dai Yoshioka;W;Pts: 10x0;Ground Impact;64KG;SPF;2002
Marcelo dos Santos;W;Points;World Cup;64KG;SF;2003
Armando Guedes;W;Points;World Cup;64KG;F;2003
Armando Guedes;W;Pts: 2x0;World Cup;64KG;F;2004
Bernardo Pitel;W;Triangle;World Cup;64KG;F;2005
Yuta Sasaki;W;Guillotine;ADCC;66KG;R1;2013
