Opponent,W/L,Method,Competition,Weight,Stage,Year
Sean Alvarez,L,Points,ADCC,O99KG,1/4F,1999
Hayato Sakurai,L,Heel hook,ADCC,ABS,SF,1999
Mark Kerr,L,Points,ADCC,O99KG,F,2000
Mark Robinson,L,Pen,ADCC,O99KG,SF,2001
Marcio Cruz,L,Armbar,ADCC,O99KG,3RD,2001
Vitor Belfort,L,Pts: 2x0,ADCC,ABS,1/4F,2001
Gabriel Napao,L,Pts: 2x0,ADCC,O99KG,1/4F,2005
Marcelo Garcia,L,Heel Hook,ADCC,ABS,R1,2005
Alexandre Ribeiro,L,Armbar,ADCC,ABS,R1,2009
Yousef Elzien,W,Headlock,ADCC,O99KG,R1,1998
Ricardo Moraes,W,Pts: 5x0,ADCC,O99KG,1/4F,1998
Firas Nakdali,W,Armbar,ADCC,O99KG,SF,1998
Sean Alvarez,W,Pts: 3x0,ADCC,O99KG,F,1998
Rocky Batastini,W,Armbar,ADCC,O99KG,R1,1999
Kim Mason,W,Points,ADCC,ABS,R1,1999
Murilo Bustamante,W,Pts: 3x0,ADCC,ABS,1/4F,1999
Garth Taylor,W,Points,ADCC,ABS,3RD,1999
Carlos Barreto,W,N/A,ADCC,O99KG,R1,2000
Rodrigo Minotauro,W,Kneebar,ADCC,O99KG,1/4F,2000
Ricardo Moraes,W,N/A,ADCC,O99KG,SF,2000
Y. Yatso,W,Flying armbar,ADCC,O99KG,R1,2001
Roger Neff,W,Kneebar,ADCC,O99KG,1/4F,2001
A. Cacareco,W,Pts: 2x0,ADCC,ABS,R1,2001
Halm Gocalli,W,Headlock,ADCC,O99KG,R1,2005
