Opponent,W/L,Method,Competition,Weight,Stage,Year
Garry Tonon,L,Inside heel hook,EBI,77KG,F,2014
AJ Agazarm,L,Toe hold,ADCC Trials,77KG,1/8F,2015
Darragh OConaill,L,North south choke,EBI 3,77KG,1/4F,2015
Jose Portillo,L,Heel hook,Onnit Invite,ABS,F,2015
Karen darabedyan,L,Heel hook,Kakuto Challenge,ABS,F,2015
Matheus Diniz,L,Straight armlock,EBI 6,ABS,1/4F,2016
John Combs,L,Armbar,Guatemala Open,82KG,SPF,2016
Damien Nitkin,W,Carney lock,NAGA Las Vegas,85KG,1/4F,2014
Gary Cruz,W,Japanese necktie,NAGA Las Vegas,85KG,SF,2014
John Morgan,W,Omoplata,EBI,77KG,R1,2014
Matt Kaiser,W,Kimura,EBI,77KG,1/4F,2014
Jake Swimney,W,Omoplata/RNC,EBI,77KG,SF,2014
Joe Murphy,W,Japanese necktie,NAGA Phoenix,85KG,SF,2014
Jose Cardinas,W,Japanese necktie,NAGA Phoenix,85KG,F,2014
Dan Schon,D,---,Elite Submission,85KG,SPF,2014
Unknown,W,RNC,ADCC Trials,77KG,R1,2015
Julio Cordova,W,Kneebar,EBI 3,77KG,R1,2015
Derrick Garza,W,Heel hook,Onnit Invite,ABS,1/4F,2015
Jose Lianas,W,Points,Onnit Invite,ABS,SF,2015
Blake Carroll,W,Heel hook,Kakuto Challenge,ABS,1/4F,2015
Aaron Johnson,W,Heel hook,Kakuto Challenge,ABS,SF,2015
Jimmy Friedrich,W,Points,EBI 6,ABS,R1,2016
Ryan Robinson,W,Heel hook,FTW Pro 5,ABS,SPF,2016
Kevin Casey,D,---,Metamoris 7,ABS,SPF,2016
