Opponent,W/L,Method,Competition,Weight,Stage,Year
Cassio Cardoso;L;Points;LINJJI;ABS;F;1984
Rickson Gracie;L;Exhaustion;III Copa Company;ABS;F;1986
Rickson Gracie;L;Choke;NA;ABS;SPF;1995
Jeff Monson;L;Adv;ADCC;99KG;SF;1999
Ricardo Almeida;L;Choke;ADCC;99KG;3PLC;1999
Mark Kerr;L;Pts: 2x0;ADCC;O99KG;SF;2000
Olav Einemo;L;Injury;ADCC;99KG;R1;2001
Roger Gracie;L;Points;ADCC;99KG;1/4F;2003
Roberto Roleta;W;Pts: 3x0;Pan American;ABS;1/4F;1996
Eduardo Jamelao;W;Pts: 7x0;Pan American;ABS;SF;1996
Sanae Kikuta;W;Points;ADCC;99KG;R1;1999
Jerry Bolander;W;Pts: 2x0;ADCC;99KG;1/4F;1999
Mario Esfiha;W;Pts: 3x0;ADCC;O99KG;R1;2000
Pete Williams;W;Pts: 7x0;ADCC;O99KG;1/4F;2000
Yuki Ozawa;W;Points;ADCC;99KG;R1;2003
