Opponent,W/L,Method,Competition,Weight,Stage,Year
Roger Gracie,L,Cross choke,European Open,ABS,1/4F,2005
Alexandre Ribeiro,L,Armbar,World Champ.,100KG,R1,2005
Alexandre Ribeiro,L,Cross ck. f/ mount,World Champ.,ABS,SF,2006
Marcelo Garcia,L,Crucifix choke,Brasileiro,ABS,R1,2006
Rafael Lovato,L,Pts: 4x0,Brasileiro,100KG,F,2007
Alexandre Ribeiro,L,Ezekiel,World Champ.,ABS,R1,2007
Rafael Lovato,L,Pts: 8x4,World Champ.,100KG,SF,2008
Andre Galvao,L,Points,World Champ.,ABS,R2,2008
Braga Neto,L,Pts: 6x0,NoGi Worlds,100KG,F,2008
Braga Neto,L,Choke from back,Pan American,100KG,F,2009
Romulo Barral,L,Pts: 3x0,Pan American,ABS,1/4F,2009
Fabricio Werdum,L,Points,ADCC,O99KG,F,2009
Alexandre Ceconi,L,Pts: 4x4, Adv,World Champ.,94KG,1/4F,2009
Daniel Moraes,L,Points,Copa America,ABS,SF,2009
Rodrigo Cavaca,L,Botinha,World Champ.,O100KG,F,2010
Alexandre Ceconi,L,Adv,World Champ.,ABS,R2,2011
Braga Neto,L,Pts: 9x0,World Champ.,O100KG,SF,2011
Fabricio Werdum,L,Points,ADCC,O99KG,SF,2011
Bernardo Faria,L,Armbar,World Champ.,ABS,1/4F,2012
R. Evangelista,L,Points,World Champ.,O100KG,R2,2012
Nivaldo Oliveira,L,Choke,Pan American,ABS,R2,2013
Marcus Almeida,L,Pts: 4x3,World Pro,ABS,1/4F,2013
Marcus Almeida,L,Points,ADCC,O99KG,SF,2013
Braulio Estima,L,Points,World Champ.,ABS,R3,2014
Andre Galvao,L,Pts: 6x0,ADCC,ABS,SPF,2015
R. Evangelista,L,Pts: 10x0,Grand Slam LA,O94KG,F,2015
Alexander Trans,L,Pts: 0x0, Adv,World Pro,ABS,R2,2016
R. Evangelista,L,Pts: 0x0, Adv,World Pro,O94KG,1/4F,2016
Rafael Lovato,L,Referee Decision,F2W Pro 7,O100KG,SPF,2016
Leonardo Ramos,W,N/A,European Open,100KG,F,2005
Braulio Estima,W,Armbar,World Champ.,ABS,R1,2006
Demian Maia,W,Pts: 4x0,World Champ.,ABS,1/4F,2006
Waldir Neto,W,Choke,Team Nationals,O88KG,1/4F,2006
Rodrigo Comprido,W,Pts: 8x0,Brasileiro,100KG,SF,2007
Marcel Fortuna,W,Adv,Pan American,100KG,SF,2008
Arthur Jacinto,W,Adv,Pan American,100KG,F,2008
Cristiano Lazzarini,W,Points,NoGi Worlds,100KG,SF,2008
Felipe Pacces,W,Choke from back,Pan American,ABS,1/8F,2009
Tom DeBlass,W,Points,ADCC,O99KG,R1,2009
Asa Fuller,W,Points,ADCC,O99KG,1/4F,2009
Jeff Monson,W,Points,ADCC,O99KG,SF,2009
Bill Cooper,W,Points,GQ Del Mar,ABS,F,2009
Bill Cooper,W,Pts: 4x4, Adv,Grapplers Quest,ABS,F,2009
Stephen Hal,W,N/A,Miami Open,O100KG,F,2010
Joao Pinho,W,N/A,No Gi Worlds,O100KG,SF,2010
David Herzog,W,Knee choke,No Gi Worlds,O100KG,F,2010
JT Torres,W,Points,No Gi Worlds,ABS,R2,2010
Fabricio Camoes,W,Points,No Gi Worlds,ABS,1/8F,2010
