Opponent,W/L,Method,Competition,Weight,Stage,Year
Rick Macauley,L,Heel hook,GQ All Star Pro,90KG,SF,2007
Alexandre Ribeiro,L,Ezekiel,World Champ.,94KG,F,2007
Eduardo Telles,L,Points,NoGi Pan Am.,100KG,1/4F,2007
Rafael Lovato,L,Adv,Pan American,94KG,F,2008
Alexandre Souza,L,Points,World Champ.,94KG,SF,2008
Bruno Bastos,L,Armbar,ADCC Trials,88KG,1/4F,2009
Braga Neto,L,Choke from back,Pan American,100KG,SF,2010
Antonio Peinado,L,Choke,Pan American,ABS,1/4F,2010
Rafael Lovato,L,Referee Decision,No Gi Worlds,94KG,F,2010
Lucas Leite,L,Points,No Gi Worlds,ABS,1/8F,2010
Ricardo Abreu,L,Choke,World Champ.,100KG,SF,2010
Bernardo Faria,L,Armbar,Pan American,94KG,SF,2011
Braga Neto,L,Referee Decision,World Champ.,ABS,R2,2011
Antonio Carlos,L,Pts: 4x2,World Champ.,94KG,1/4F,2011
Lucas Leite,L,Adv,No Gi Worlds,94KG,F,2011
Rodolfo Vieira,L,Arm in ezekiel,European Open,94KG,F,2012
Bernardo Faria,L,Omoplata,European Open,ABS,1/4F,2012
Rodolfo Vieira,L,Armbar,World Pro.,94KG,F,2012
Marcus Almeida,L,Flying Triangle,World Champ.,ABS,R2,2012
Alexandre Ribeiro,L,Flying Armbar,World Champ.,94KG,SF,2012
DJ Jackson,L,Pts: 4x0,NoGi Worlds,ABS,1/8F,2012
K. Cornelius,L,Points,NYC World Trials,92KG,F,2013
Rodolfo Vieira,L,Points,World Pro,94KG,SF,2013
Lucas Leite,L,Pts: 16x0,World Champ.,94KG,1/4F,2013
Jackson Sousa,L,Pts: 0x0, Adv,IBJJF Pro League,94KG,SF,2013
Lucas Leite,L,Choke from back,Pan American,94KG,SF,2014
Tim Spriggs,L,Pts: 0x0, Adv,No Gi Worlds,94KG,1/4F,2014
Keenan Cornelius,L,Pts: 12x0,IBJJF Pro League,94KG,SF,2014
Bernardo Faria,L,Bow and arrow,World Champ.,ABS,1/8F,2015
Igor Silva,L,Choke,World Champ.,100KG,1/4F,2015
Felipe Pena,L,Pts: 3x0,ADCC,99KG,R1,2015
Joao Assis,L,Pts: 4x0,NoGi Worlds,100KG,F,2015
Jason Ebarb,W,Armbar,GQ All Star Pro,90KG,1/4F,2007
Roberto Tozi,W,Pts: 10x0,World Champ.,94KG,1/4F,2007
T. Gaia,W,Triangle,World Champ.,94KG,SF,2007
Roberto Tozi,W,Adv,Pan American,94KG,SF,2008
Fernando Piero,W,Pts: 6x2,World Champ.,94KG,1/4F,2008
Cameron Diffley,W,Pts: 21x0,NoGi Worlds,94KG,1/4F,2008
Bruno Bastos,W,Pts: 2x0,NoGi Worlds,94KG,F,2008
Unknown,W,Points,ADCC Trials,88KG,R1,2009
Rodrigo Teixeira,W,Pts: 0x0, Adv,NoGi Worlds,94KG,1/8F,2009
Travis Lutter,W,Points,NoGi Worlds,94KG,1/4F,2009
Joao Assis,W,Kimura,NoGi Worlds,94KG,SF,2009
Marcel Lousado,W,Triangle,NoGi Worlds,94KG,F,2009
Braga Neto,W,Points,NoGi Worlds,ABS,F,2009
Diego Herzog,W,Points,Pan American,100KG,R1,2010
Rodrigo Pinheiro,W,Points,Pan American,100KG,1/4F,2010
Kouichirou Oka,W,Brabo choke,Pan American,ABS,R1,2010
Rafael Bettega,W,Armbar,No Gi Worlds,94KG,SF,2010
Charles Leite,W,Points,World Champ.,100KG,R2,2010
Marcel Fortuna,W,Pts: 2x2, Adv,World Champ.,100KG,1/4F,2010
Matheus Serafim,W,Triangle,World Champ.,94KG,RDS,2011
Unknown,W,N/A,World Champ.,94KG,RDS,2011
Leo Davila,W,N/A,No Gi Worlds,94KG,1/4F,2011
Kevin Casey,W,DQ,No Gi Worlds,94KG,SF,2011
Rafael Lovato,W,N/A,European Open,94KG,SF,2012
Vladimiro Afonso,W,Brabo Choke,World Pro.,94KG,1/4F,2012
Pedro Lott,W,Submission,World Pro.,94KG,SF,2012
Paulo Pinto,W,Pts: 7x0,World Champ.,ABS,R2,2012
Adriano Inacio Rosa,W,N/A,World Champ.,94KG,R1,2012
Wagner Oliveira,W,N/A,World Champ.,94KG,R2,2012
Tarsis Humphreys,W,Pts: 0x0,World Champ.,94KG,1/4F,2012
Eduardo Telles,W,Points,NoGi Worlds,94KG,1/4F,2012
Diego Herzog,W,Points,NoGi Worlds,94KG,SF,2012
Rafael Lovato,W,Referee Decision,NoGi Worlds,94KG,F,2012
Unknown,W,Ezekiel,NYC World Trials,92KG,SF,2013
Unknown,W,Kimura,Pan American,88KG,R1,2013
Bernardo Filho,W,N/A,Pan American,88KG,1/4F,2013
Tarcisio Jardim,W,Submission,Pan American,88KG,SF,2013
Nivaldo Oliveira,W,Adv,Pan American,88KG,F,2013
Guilherme Santos,W,Points,Pan American,94KG,1/8F,2014
Fabiano Leite,W,Pts: 4x2,Pan American,94KG,1/4F,2014
MÃ¡rcio Pedra,W,Pts: 2x0,ADCC RJ,99KG,R1,2015
Rodrigo Cavaca,W,Pts: 3x0,ADCC RJ,99KG,1/4F,2015
Aleksandro Souza,W,RNC,ADCC RJ,99KG,SF,2015
Marcus Vinicius,W,Pts: 3x0,ADCC RJ,99KG,F,2015
Tanner Rice,W,Adv,World Champ.,ABS,R1,2015
James Quinlan,W,Guillotine,NoGi Worlds,100KG,1/4F,2015
Guybson Sa,W,Kimura,NoGi Worlds,100KG,SF,2015
