Opponent,W/L,Method,Competition,Weight,Stage,Year
Rigan Machado;L;Pts: 3x0;Pan American;ABS;1/4F;1996
Fabio Gurgel;L;Pts: 3x0;Team Nationals;O88KG;RDS;1996
Mario Sperry;L;Adv;World Champ.;ABS;F;1998
Leo Dalla;L;Points;Brasileiro;88KG;1/4F;1999
Saulo Ribeiro;L;Adv;World Champ.;88KG;F;1999
Rodrigo Comprido;L;Toe hold;World Champ.;ABS;F;1999
Ricardo Liborio;L;Pts: 9x0;ADCC;88KG;1/4F;2000
Rodrigo Comprido;L;Pts: 10x0;ADCC;ABS;R1;2000
Ricardo Miller;W;Inverted armbar;Pan American;88KG;SF;1996
Saulo Ribeiro;W;Referee Decision;Pan American;88KG;F;1996
Carlos Pedro;W;Submission;Brasileiro;88KG;SF;1996
Saulo Ribeiro;W;Armbar;Brasileiro;88KG;F;1996
Wallid Ismail;W;Pts: 4x0;World Champ.;88KG;SF;1996
Luiz Duarte;W;Triangle;World Champ.;88KG;F;1996
Anderson Xavier;W;Pts: 10x0;World Champ.;88KG;SF;1997
Mario Sperry;W;Points;World Champ.;100KG;1/4F;1998
Leo Dalla;W;Adv;World Champ.;100KG;SF;1998
Vinicius Cruz;W;Submission;World Champ.;ABS;1/4F;1998
Murilo Bustamante;W;Pts: 0x0, Adv;World Champ.;ABS;SF;1998
Unknown;W;Triangle;Brasileiro;88KG;R1;1999
Guigo;W;Adv;Pan American;ABS;1/4F;1999
Mario Esfiha;W;Armbar;Pan American;O100KG;SF;1999
Amaury Bitetti;W;Pts: 2x0;World Champ.;88KG;SF;1999
Minotauro Nogueira;W;Referee Decision;World Champ.;ABS;SF;1999
Jorge Patino;W;Pts: 6x0;World Champ.;88KG;1/4F;2000
Eduardo Jamelao;W;Pts: 0x0, Adv;World Champ.;88KG;SF;2000
Fernando Margarida;W;Pts: 4x0;World Champ.;88KG;F;2000
Manu Garcia;W;Pts: 9x2;ADCC;88KG;R1;2000
Eduardo Jamelao;W;Katagatame;Rio x Sao Paulo;ABS;SPF;2000
