Opponent,W/L,Method,Competition,Weight,Stage,Year
Leandro Lo,L,Pts: 7x2,World Champ.,76KG,SF,2012
Leandro Lo,L,Points,World Pro,76KG,SF,2013
Lucas Lepri,L,Pts: 20x0,World Champ.,76KG,SF,2014
Jake Shields,D,N/A,Metamoris 5,ABS,SPF,2014
Lucas Lepri,L,Pts: 2x0,World Pro,75KG,SF,2015
Clark Gracie,D,N/A,Metamoris 6,ABS,SPF,2015
Celso Vinicius,L,Injury,Grand Slam LA,77KG,F,2015
Gabriel Arges,L,Pts: 6x2,World Pro,77KG,F,2016
Thiago Abreu,L,Botinha,World Champ.,76KG,R1,2016
Pedro Bessa,W,Flying armbar,European Open,76KG,1/4F,2012
Michael Langhi,W,Pts: 4x4, Adv,European Open,76KG,SF,2012
JT Torres,W,Pts: 5x0,European Open,76KG,F,2012
Davi Ramos,W,Pts: 3x2,World Pro.,76KG,R2,2012
Thiago Braga,W,Clock Choke,World Pro.,76KG,1/4F,2012
JT Torres,W,Pts: 2x0,World Pro.,76KG,SF,2012
Lucas Lepri,W,Pts: 2x0,World Pro.,76KG,F,2012
Unknown,W,Submission,World Champ.,76KG,R2,2012
Italo Lins,W,Points,World Champ.,76KG,R3,2012
JT Torres,W,Pts: 2x2, Adv,World Champ.,76KG,1/4F,2012
Unknown,W,Choke from back,Japan Pro Trials,76KG,F,2013
Claudio Mattos,W,Choke,World Pro.,76KG,SF,2014
Sergio Benini,W,Choke from back,World Pro.,76KG,F,2014
T. Kaneko,W,N/A,World Champ.,76KG,R1,2014
AJ Agazarm,W,Choke from back,World Champ.,76KG,1/8F,2014
Celso Vinicius,W,Pts: 2x0,World Champ.,76KG,1/4F,2014
Tatsuya Kaneko,W,Bow and arrow,Asian Open,76KG,F,2014
Alexandre Santos,W,Clock choke,Boa Super 8,ABS,1/4F,2015
Rodrigo Caporal,W,Pts: 2x0,Boa Super 8,ABS,SF,2015
Lachlan Giles,W,Choke,Boa Super 8,ABS,F,2015
Tomas Oyarzun,W,Triangle,World Pro,75KG,R1,2015
Samuel Hertzog,W,Points,World Pro,75KG,1/4F,2015
Mario Reis,W,Pts: 2x0,World Pro,75KG,3RD,2015
Unknown,W,Choke,Bullterrier Cup,ABS,1/4F,2015
Leandro Kussano,W,Estima lock,Bullterrier Cup,ABS,SF,2015
Rodrigo Caporal,W,Pts: 2x0,Grand Slam Tokyo,77KG,SF,2015
Celso Vinicius,W,Adv,Grand Slam Tokyo,77KG,F,2015
Choi Choi,W,Reverse triangle,Asian Open,76KG,F,2015
Tiago Bravo,W,Bow and arrow,Grand Slam LA,77KG,SF,2015
Ian Toro,W,Triangle/armbar,World Pro,77KG,R1,2016
Gabriel Procopio,W,Armbar,World Pro,77KG,1/8F,2016
Luan Carvalho,W,Bow and arrow,World Pro,77KG,1/4F,2016
AJ Agazarm,W,Pts: 4x0,World Pro,77KG,SF,2016
Alexandre Ogawa,W,Choke from back,Asian Open,82KG,SF,2016
Rodrigo Teixeira,W,Armbar,Asian Open,82KG,F,2016
Anderson T.,W,Submission,Grand Slam Tokyo,77KG,SF,2016
Robson Tanno,W,Darce choke,Grand Slam Tokyo,77KG,F,2016
