Opponent,W/L,Method,Competition,Weight,Stage,Year
Jeff Monson,L,Pts: 3x0,ADCC,99KG,1/4F,1999
Marcio Cruz,L,Points,ADCC,ABS,R1,2001
Jefferson Moura,L,Triangle,World Champ.,94KG,1/4F,2003
Roberto Godoi,W,N/A,World Champ.,O100KG,1/4F,1998
Otavio Duarte,W,Pen,World Champ.,O100KG,SF,1998
John Machado,W,Pts: 10x0,World Champ.,O100KG,F,1998
Minotauro Nogueira,W,Points,World Champ.,O100KG,1/4F,1999
Andre Marques,W,N/A,World Champ.,O100KG,NA,1999
Jurie Rachel,W,Submission,ADCC,99KG,R1,1999
F. Capoane,W,Pts: 2x0,ADCC,ABS,R1,1999
Luis Roberto,W,Pts: 6x0,ADCC,ABS,1/4F,1999
Garth Taylor,W,Pts: 5x0,ADCC,ABS,SF,1999
Hayato Sakurai,W,Pts: 2x0,ADCC,ABS,F,1999
Charles Faria,W,Points,World Champ.,94KG,R1,2003
