Opponent,W/L,Method,Competition,Weight,Stage,Year
Alexandre Soca;L;Choke from back;Brasileiro;70KG;1/4F;1999
Royler Gracie;L;Pts: 2x0;ADCC;66KG;SF;2001
Ricardo Vieira;L;Pts: 6x5;World Champ.;64KG;SF;2001
Rafael Mendes;L;Points;World Pro.;65KG;1/4F;2009
Rafael Mendes;L;Points;ADCC;66KG;SF;2011
Jeff Glover;L;Guillotine;ADCC;66KG;3PLC;2011
Armando Conde;W;Armbar;World Champ.;64KG;SF;1997
Luis Renato;W;Choke from back;Super Liga;64KG;F;1998
Renato Sampaio;W;Adv;Super Liga;ABS;SF;1998
Unknown;W;Choke;World Champ.;61KG;1/4F;1998
Fredson Alves;W;Points;World Champ.;61KG;F;1998
Unknown;W;Points;Brasileiro;70KG;R1;1999
Marcos Matta;W;Pts: 2x0;World Champ.;64KG;F;2000
Fredson Paixao;W;Points;Rio x Sao Paulo;NA;SPF;2000
Hiroyuko Abe;W;RNC;ADCC;66KG;R1;2001
Joe Guilbert;W;Referee Decision;ADCC;66KG;1/4F;2001
Alexandre Soca;W;Points;ADCC;66KG;3PLC;2001
Douglas Plata;W;N/A;World Cup;64KG;SF;2002
Ricardo Vieira;W;Pts: 2x2, Adv;World Cup;64KG;F;2002
Jeff Glover;W;Pts: 6x3;LA Sub-X;ABS;SPF;2006
Ulysses Gomez;W;Kneebar;GQ All Star Pro;63KG;1/4F;2007
Ricky Lundell;W;Guillotine;GQ All Star Pro;63KG;SF;2007
Wilson Reis;W;Heel hook;GQ All Star Pro;63KG;F;2007
Tomoya Yanagisawa;W;Choke;Pan American;64KG;SF;2007
Dai Yoshioka;W;Pts: 0x0, Adv;Pan American;64KG;F;2007
Dai Yoshioka;W;Pts: 5x2;World Champ.;64KG;1/4F;2007
Carlos Esquisito;W;Referee Decision;World Champ.;64KG;SF;2007
Samuel Braga;W;Pts: 0x0, Adv;World Champ.;64KG;F;2007
Bernardo Cruz;W;Points;World Pro.;65KG;R1;2009
Nobuhiko Kitahara;W;Choke from back;Arizona Open;64KG;SPF;2010
Greger Forsel;W;Pts: 3x0;ADCC;66KG;R1;2011
Ryan Hall;W;Pts: 3x0;ADCC;66KG;1/4F;2011
Marcos Matta;W;Clock choke;World Expo;ABS;SPF;2014
Baret Yoshida;D;---;Polaris 2;70KG;SPF;2015
