Opponent,W/L,Method,Competition,Weight,Stage,Year
Joao Miyao,L,Pts: 0x0, Adv,Grand Slam - Rio,62KG,R1,2015
Koji Shibamoto,L,Referee Decision,European Open,57KG,SF,2016
Joao Miyao,L,Pts: 4x2,World Pro,62KG,1/4F,2016
Bruno Malfacine,L,Pts: 7x0,World Champ.,57KG,1/4F,2016
Nicolas Gaillard,W,Toe hold,European Open,57KG,1/4F,2016
Jordy Peute,W,Points,Munich Open,57KG,SF,2016
Lucas Dantas,W,Pts: 8x4,Munich Open,57KG,F,2016
Michel Tavares,W,Pts: 0x0, Adv,London Grand Slam,62KG,SF,2016
Wojciech Piekut,W,Pts: 2x0,London Grand Slam,62KG,F,2016
Joao Gouveia,W,Choke from back,World Pro,62KG,R1,2016
Helio Guilherme,W,Choke from back,Brasileiro,57KG,1/4F,2016
Juan Lopes,W,Choke from back,Brasileiro,57KG,F,2016
Andrea Verdemare,W,Botinha,World Champ.,57KG,R1,2016
