Opponent,W/L,Method,Competition,Weight,Stage,Year
Alexandre Souza;L;Pts: 0x0, Adv;World Champ.;94KG;1/4F;2009
Alexandre Ceconi;L;Adv;WPC Gr trials;92KG;F;2010
Rafael Lovato;L;Pts: 4x2;World P. NoGi;92KG;F;2011
Dean Lister;L;Heel hook;ADCC;99KG;SF;2011
Marcus Almeida;L;Pts: 8x7;World Champ.;ABS;1/4F;2012
Marcus Almeida;L;Pts: 4x2;World Pro;ABS;F;2013
Marcus Almeida;L;Pts: 10x0;World Champ.;ABS;F;2013
Leandro Lo;D;Pts: 0x0;Copa Podio;94KG;GP;2014
Marcus Almeida;L;Pts: 2x0;World Pro.;ABS;F;2014
Marcus Almeida;L;Pts: 2x0;World Champ.;ABS;F;2014
Joao Rocha;L;Pts: 2x0;ADCC;ABS;SF;2015
Braulio Estima;W;Pts: 0x0, Adv;World Pro.;94KG;SF;2009
Antonio Peinado;W;Adv;World Pro.;94KG;F;2009
Braga Neto;W;Choke from back;WPC RJ Trials;92KG;SF;2010
Alexandre Souza;W;Referee Decision;WPC RJ Trials;92KG;F;2010
Leo Nogueira;W;Adv;Pan American;94KG;1/4F;2011
D. Hertzog;W;Submission;Pan American;94KG;SF;2011
Bernardo Faria;W;Pts: 8x0;Pan American;94KG;F;2011
Bernardo Faria;W;Pts: 0x0, Adv;Pan American;ABS;F;2011
Antonio Carlos;W;Points;World Pro.;92KG;SF;2011
Bruno Bastos;W;Pts: 15x0;World Pro.;92KG;F;2011
Michael Langhi;W;Armbar;World Pro.;ABS;1/4F;2011
Tarsis Humphreys;W;Pts: 5x2;World Pro.;ABS;SF;2011
Rubens Charles;W;Choke from back;World Pro.;ABS;F;2011
Rafael Mendes;W;Referee Decision;World P. NoGi;ABS;F;2011
Matt Jubera;W;Triangle;World Champ.;ABS;R1;2011
Claudio Calasans;W;Armbar;World Champ.;ABS;R2;2011
Sergio Moraes;W;Pts: 8x0;World Champ.;ABS;1/4F;2011
Marcus Almeida;W;Armbar;World Champ.;ABS;SF;2011
Bernardo Faria;W;Pts: 9x0;World Champ.;ABS;F;2011
Dustin Denes;W;Pts: 26x0;World Champ.;94KG;RDS;2011
Gybson SÃ¡;W;Armbar;World Champ.;94KG;1/4F;2011
Rafael Lovato;W;Pts: 20x2;World Champ.;94KG;SF;2011
Bernardo Faria;W;Pts: 3x0;World Champ.;94KG;F;2011
Joseph Lee Baize;W;Armbar;ADCC;99KG;R1;2011
Antonio Peinado;W;Pts: 5x0;ADCC;99KG;1/4F;2011
Unknown;W;Choke from back;European Open;94KG;1/4F;2012
Tarcisio Jardim;W;Choke from back;European Open;94KG;SF;2012
Roberto Alencar;W;Arm in ezekiel;European Open;94KG;F;2012
Victor Estima;W;Choke from back;European Open;ABS;1/4F;2012
Lucio Lagarto;W;Arm in Ezekiel;European Open;ABS;SF;2012
Bernardo Faria;W;Pts: 7x0;European Open;ABS;F;2012
Cristiano Carioca;W;Choke from back;World Pro.;94KG;1/4F;2012
Marcelo Bernardo;W;Armbar;World Pro.;94KG;SF;2012
Roberto Alencar;W;Armbar;World Pro.;94KG;F;2012
Bernardo Faria;W;Cross ck. f/ mount;World Pro.;ABS;SF;2012
Andre Galvao;W;Pts: 4x2;World Pro.;ABS;F;2012
Diego Vivalde;W;Cross ck. f/ mount;World Champ.;ABS;R2;2012
James Puopolo;W;Choke from back;World Champ.;ABS;R2;2012
Alan Salgado;W;Choke from Mount;World Champ.;94KG;R2;2012
Fabiano Souza;W;Armbar;World Champ.;94KG;1/4F;2012
Alexandre Ceconi;W;Choke from Back;World Champ.;94KG;SF;2012
Alexandre Ribeiro;W;Pts: 2x2, Adv;World Champ.;94KG;F;2012
Luciano GonÃ§alves;W;Armbar;Rockstrike;ABS;NA;2012
Gilmar de Oliveira;W;Choke from back;Rockstrike;ABS;NA;2012
Kim Terra;W;Armbar;Rockstrike;ABS;NA;2012
Alexandre Ceconi;W;Choke;Copa Podio;100KG;GP;2013
Leo Nogueira;W;Pts: 9x0;Copa Podio;100KG;GP;2013
K. Cornelius;W;Pts: 10x0;Copa Podio;100KG;GP;2013
Alexandre Ribeiro;W;Pts: 6x0;Copa Podio;100KG;GP;2013
Alexandre Souza;W;Armbar;Copa Podio;100KG;SF;2013
Leo Nogueira;W;Adv;Copa Podio;100KG;F;2013
Braulio Estima;W;Referee Decision;Metamoris 2;ABS;SPF;2013
Roberto Alencar;W;Points;World Pro;94KG;SF;2013
Pedro Peres;W;Choke from back;World Pro;94KG;F;2013
Gustavo Campos;W;Choke from back;World Pro;ABS;R1;2013
Felipe Gargamel;W;Choke from back;World Pro;ABS;1/4F;2013
Claudio Calasans;W;Pts: 9x0;World Pro;ABS;SF;2013
Leonardo Leite;W;Armbar;Copa Podio;94KG;SPF;2013
Lucas Sashs;W;Baseball choke;World Champ.;ABS;RDS;2013
Antonio Peinado;W;Bow and arrow;World Champ.;ABS;RDS;2013
Joao Rocha;W;Armbar;World Champ.;ABS;1/4F;2013
Leonardo Leite;W;Armbar;World Champ.;ABS;SF;2013
Yuri Simoes;W;Pts: 8x0;World Champ.;94KG;1/4F;2013
Nivaldo Oliveira;W;Katagatame;World Champ.;94KG;SF;2013
Lucas Leite;W;Brabo choke;World Champ.;94KG;F;2013
Leonardo Leite;W;Pts: 14x2;Copa Podio;ABS;SPF;2013
Ricardo Abreu;W;Adv;Copa Podio;ABS;SPF;2013
Alexandre Souza;W;Armbar;Copa Podio;94KG;GP;2014
