Opponent,W/L,Method,Competition,Weight,Stage,Year
Roger Gracie,L,Cross choke,World Champ.,ABS,1/4F,2006
Luiz Theodoro,L,Adv,Brasileiro,ABS,F,2007
Roger Gracie,L,Armbar,World Champ.,ABS,R1,2007
Roger Gracie,L,Submission,World Champ.,O100KG,R1,2008
Gabriel Vella,L,Pts: 2x0,NoGi Worlds,O100KG,F,2008
Marcio Corleta,L,Armbar,Pan American,O100KG,F,2009
Vinny Magalhaes,L,Heel hook,ADCC,99KG,R1,2009
Gabriel Vella,L,Pts: 0x0, Adv,World Champ.,O100KG,F,2009
Bill Cooper,L,Triangle,GQ Del Mar,ABS,NA,2009
Gustavo Campos,L,Triangle,European,ABS,F,2010
Marcel Fortuna,L,Pts: 0x0, Adv,Pan American,100KG,SF,2010
Bernardo Faria,L,Points,Pan American,ABS,SF,2010
Roger Gracie,L,Choke from back,World Champ.,ABS,SF,2010
Sergio Moraes,L,Toe hold,European,ABS,SF,2011
Caio Alencar,L,Points,World Pro.,O92KG,1/4F,2011
Braga Neto,L,Pts: 7x0,World Champ.,O100KG,F,2011
Alexander Trans,L,Pts: 3x0,European Open,O100KG,F,2013
Braulio Estima,L,Choke from back,World Pro.,ABS,R2,2014
Alexander Trans,L,Pts: 0x0, Adv,World Pro.,O100KG,SF,2014
Dimitrus Souza,L,Pts: 4x2,South American,ABS,SF,2014
Roberto Alencar,L,Pts: 3x0,ADCC RJ,99KG,1/4F,2015
Alexander Trans,L,Pts: 2x0,World Pro,O95KG,1/4F,2015
Erberth Santos,L,Choke from back,Brasileiro,100KG,F,2015
Alexander Trans,L,Pts: 4x2,World Champ.,O100KG,1/4F,2015
Jared Dopp,L,Pts: 2x0,ADCC,O99KG,1/4F,2015
Bruno Novaes,L,N/A,Brasileiro,O100KG,1/4F,2016
Erberth Santos,L,Pts: 11x8,Brasileiro,ABS,F,2016
Igor Silva,L,Pts: 4x0,World Champ.,100KG,1/4F,2016
Bernardo Faria,L,Points,World Champ.,ABS,1/4F,2016
Alexander Trans,L,Pts: 2x0,Copa Podio,105KG,RR,2016
Gabriel Lucas,L,Pts: 3x2,Copa Podio,105KG,RR,2016
Ulpiano Malachias,W,Points,NoGi Worlds,O100KG,SF,2008
Lucio Lagarto,W,Points,European,100KG,F,2009
Andre Freitas,W,N/A,Pan American,O100KG,SF,2009
Jay Pages,W,Triangle,Pan American,ABS,R1,2009
Roberto Tozi,W,Omoplata,Pan American,ABS,1/8F,2009
Rick Miga,W,Triangle,World Champ.,O100KG,R1,2009
Bruno Bastos,W,Choke from back,World Champ.,O100KG,R1,2009
Charles Cachoeira,W,Referee Decision,World Champ.,O100KG,1/4F,2009
Marcio Corleta,W,Pts: 0x0, Adv,World Champ.,O100KG,SF,2009
Tarsis Humphreys,W,Points,World Champ.,ABS,R1,2009
Unknown,W,Triangle,World Champ.,ABS,R1,2009
Unknown,W,Heel hook,GQ Del Mar,ABS,NA,2009
Rogent Lloret,W,Wristlock,European,O100KG,NA,2010
Antonio Peinado,W,Points,European,O100KG,F,2010
Rodrigo Caporal,W,Triangle,European,ABS,1/4F,2010
Bernardo Faria,W,Points,European,ABS,SF,2010
Marcel Fortuna,W,Triangle,Pan American,ABS,1/4F,2010
Igor Silva,W,Footlock,Brasileiro,O100KG,F,2010
Petrus Melo,W,Triangle,World Champ.,O100KG,R2,2010
Marcio Cruz,W,Triangle,World Champ.,O100KG,1/4F,2010
Antonio Peinado,W,Botinha,World Champ.,O100KG,SF,2010
Roberto Abreu,W,Botinha,World Champ.,O100KG,F,2010
Marcio Cruz,W,Submission,World Champ.,O100KG,SF,2011
Derek Leyrer,W,Points,Grapplers Quest,ABS,NA,2012
Jose Junior,W,N/A,European Open,O100KG,SF,2013
Rodrigo Candido,W,Heel hook,ADCC Trials,O99KG,SF,2013
Kitner Moura,W,Gogoplata,ADCC Trials,O99KG,F,2013
Marcus Almeida,W,Pts: 7x2,World Pro,O100KG,F,2013
Gustavo Dias,W,Botinha,World Champ.,O100KG,1/4F,2013
Abraham Marte,W,DQ,World Champ.,O100KG,SF,2013
R. Evangelista,W,Pts: 4x2,European,O100KG,F,2014
Piotr Wojtkowski,W,Pts: 7x0,World Pro.,ABS,R1,2014
Jackson Ratigueri,W,Submission,South American,ABS,RDS,2014
Tony Ferraz,W,Pts: 38x0,South American,ABS,1/4F,2014
Frederico Zaganelli,W,Choke from back,South American,100KG,F,2014
Cristiano Lazzarinni,W,Pts: 2x0,ADCC RJ,99KG,R1,2015
Pablo Agarao,W,Pts: 2x0,World Pro,O95KG,R1,2015
Hideki Sekine,W,Referee Decision,ADCC,O99KG,R1,2015
Fernando Gomes,W,Submission,Brasileiro,O100KG,1/4F,2016
Eric Medeiros,W,Bow and arrow,Brasileiro,ABS,RD,2016
Ruan Oliveira,W,Botinha,Brasileiro,ABS,1/8F,2016
Guilherme Augusto,W,Adv,Brasileiro,ABS,1/4F,2016
Felipe Bueno,W,Pts: 4x0,World Champ.,100KG,R1,2016
Felipe Bueno,W,N/A,World Champ.,ABS,R1,2016
Dany Gerard,W,Pts: 0x0,World Champ.,ABS,R2,2016
Ricardo Evangelista,W,Botinha,World Champ.,ABS,1/8F,2016
Diego Borges,D,---,Copa Podio,105KG,RR,2016
Nelton Pontes,W,Pts: 0x0, Adv,Copa Podio,105KG,RR,2016
