Opponent,W/L,Method,Competition,Weight,Stage,Year
Geraldo Freitas;L;Points;Sub. Campos X;77KG;RR;2015
Leonardo Vasconcelos;L;Points;Sub. Campos X;77KG;RR;2015
Sandro Vieira;L;N/A;Brasileiro;76KG;1/8F;2016
Claudevan Oliveira;L;Points;Rio Winter Open;76KG;SF;2016
Julio Anjos;L;Adv;Sao Paulo Open;76KG;1/4F;2016
Herbert Burns;L;Points;Brasileiro NoGi;73KG;1/4F;2016
Robson Maia;W;Pts: 0x0, Adv;Mundial CBLP;76KG;1/4F;2015
L. Vieira;W;Points;Mundial CBLP;76KG;SF;2015
Erick Morais;W;Triangle armbar;Mundial CBLP;76KG;F;2015
Wellington L.;W;Triangle;Sub. Campos X;77KG;RR;2015
Gustavo Zueli;W;N/A;Brasileiro;76KG;R1;2016
Luciano Bernert;W;Armbar;Rio Winter Open;76KG;R1;2016
L. Correa;W;Armbar;Rio Winter Open;76KG;1/8F;2016
Theodoro Canal;W;Adv;Rio Winter Open;76KG;1/4F;2016
Rodrigo Almeida;W;DQ;Sao Paulo Open;76KG;R1;2016
Vitor Matos;W;Points;Brasileiro NoGi;73KG;R1;2016
