Opponent,W/L,Method,Competition,Weight,Stage,Year
Murilo Bustamante;L;Pts: 2x0;Brasileiro;ABS;1/4F;1999
Ricardo Arona;L;Pts: 2x0;World Champ.;94KG;SF;2000
Jeff Monson;L;Pts: 2x0;ADCC;99KG;1/4F;2000
Tito Ortiz;L;Pts: 2x0;ADCC;ABS;SF;2000
Ricardo Almeida;L;Pts: 5x0;ADCC;ABS;3PLC;2000
Fernando Margarida;L;Pts: 13x8;World Champ.;ABS;SF;2001
Fabio Gurgel;L;Points;World Champ.;94KG;F;2001
Gabriel Gonzaga;L;Pts: 9x0;World Champ.;ABS;1/4F;2002
Alexandre Dantas;L;Points;Pan American;100KG;SF;2002
Saulo Ribeiro;L;Pts: 2x0;ADCC;88KG;1/4F;2003
A. Cacareco;L;Guillotine;ADCC;ABS;R2;2003
Roger Coelho;L;Points;World Champ.;94KG;SF;2003
Roger Gracie;L;RNC;World Champ.;100KG;F;2004
Alexandre Ribeiro;L;Armbar;World Champ.;100KG;SF;2005
Roger Gracie;L;Armbar;World Champ.;100KG;SF;2006
Roberto Abreu;L;Pts: 8x0;Brasileiro;100KG;SF;2007
Roger Gracie;L;Cross choke;World Champ.;100KG;SF;2007
Bernardo Faria;L;Pts: 5x2;World Champ.;100KG;R1;2009
Alexander Trans;L;Pts: 2x2, Adv;World Champ.;O100KG;1/4F;2012
Saulo Ribeiro;D;N/A;Metamoris 4;ABS;SPF;2014
Gabriel Lucas;L;Referee Decision;No Gi Worlds;O100KG;SF;2014
Roger Gracie;L;Armbar;UFC Expo;ABS;SPF;2015
Mario Sperry;W;Adv;World Champ.;ABS;SF;1999
Roberto Roleta;W;Toe hold;World Champ.;ABS;F;1999
Nino Schembri;W;Kimura;World Champ.;ABS;1/4F;2000
Fernando Margarida;W;Pts: 2x0;World Champ.;ABS;F;2000
Travis Lutter;W;Pts: 2x0;ADCC;99KG;R1;2000
Roberto Roleta;W;Pts: 10x0;ADCC;ABS;R1;2000
Roberto Tozi;W;Choke from back;Rio x Sao Paulo;100KG;SPF;2000
Carlos Francis;W;Pts: 3x0;World Champ.;ABS;R1;2002
Nathan Marquardt;W;Pts: 2x0;ADCC;88KG;R1;2003
Roberto Godoi;W;Footlock;World Champ.;94KG;1/4F;2003
Felipe Cranivata;W;Points;Team Nationals;O88KG;F;2004
Roberto Tozi;W;Points;World Champ.;100KG;1/4F;2005
Ismael Mota;W;Pts: 3x2;World Champ.;100KG;1/4F;2006
Robert Drysdale;W;Points;World Cup;100KG;F;2006
Mauro Santos;W;Kimura;Brasileiro;100KG;F;2006
Dimitri Mavragani;W;Bicep slicer;Pan American;O100KG;1/4F;2007
James Foster;W;Pen;Pan American;O100KG;SF;2007
Bruno Rodrigues;W;Pts: 0x0, Adv;Pan American;O100KG;F;2007
Jose Eduardo;W;Points;NoGi Pan Am.;O100KG;SF;2007
Unknown;W;Armbar;European;O100KG;1/4F;2011
Felipe Pereira;W;Toe hold;European;O100KG;SF;2011
Marcus Larrieu;W;Bicep slicer;Chicago Open;O100KG;F;2011
Kitner Moura;W;N/A;World Champ.;O100KG;R2;2012
Kristan Magers;W;Pts: 19x0;FIVE Illinois;O100KG;F;2014
Tom DeBass;W;Pts: 2x0;No Gi Worlds;O100KG;1/4F;2014
