Opponent,W/L,Method,Competition,Weight,Stage,Year
Olav Einemo,L,Pts: 2x0,ADCC,99KG,SF,2003
Marcio Cruz,L,Pts: 3x0,World Champ.,ABS,F,2003
Ronaldo Souza,L,Pts: 4x2,World Champ.,ABS,F,2004
Ronaldo Souza,L,Pts: 2x0,World Champ.,ABS,F,2005
Alexandre Ribeiro,L,Pts: 0x0, Adv,Pan American,100KG,F,2006
Alexandre Ribeiro,L,Pts: 4x4, Adv,World Champ.,ABS,F,2006
Alexandre Ribeiro,L,Pts: 4x2,World Champ.,ABS,F,2008
Marcus Almeida,D,N/A,Metamoris,ABS,SPF,2012
Demian Maia,W,Points,Team Nationals,O88KG,1/4F,2003
Mario Sperry,W,Pts: 5x0,ADCC,99KG,R1,2003
Rigan Machado,W,Points,ADCC,99KG,1/4F,2003
Alexandre Ribeiro,W,Pts: 3x0,ADCC,99KG,3PLC,2003
Adriano Camolesi,W,Triangle,World Champ.,ABS,R1,2003
Marcos Valle,W,Armbar,World Champ.,ABS,R2,2003
Marcio Corleta,W,Referee Decision,World Champ.,ABS,1/4F,2003
Ricardo Franco,W,Submission,World Champ.,100KG,R1,2004
Roberto Tozi,W,Points,World Champ.,100KG,SF,2004
Rodrigo Comprido,W,RNC,World Champ.,100KG,F,2004
Leo Ramos,W,Submission,World Champ.,ABS,R1,2004
Roberto Agnese,W,Cross choke,World Champ.,ABS,R2,2004
Marcelo Garcia,W,Pts: 8x2,World Champ.,ABS,1/4F,2004
Fernando Terere,W,Cross choke,World Champ.,ABS,SF,2004
Roberto Abreu,W,Cross choke,European Open,ABS,1/4F,2005
Fernando Piero,W,Straight armlock,European Open,ABS,SF,2005
Ronaldo Souza,W,Pts: 2x0,European Open,ABS,F,2005
Eduardo Telles,W,Armbar,ADCC,99KG,1/4F,2005
Alexandre Ribeiro,W,RNC,ADCC,99KG,SF,2005
A. Cacareco,W,Verbal tap,ADCC,99KG,F,2005
Justin Garcia,W,RNC,ADCC,99KG,R1,2005
Shinya Aoki,W,Botinha,ADCC,ABS,R1,2005
Fabricio Werdum,W,RNC,ADCC,ABS,1/4F,2005
Alexandre Ribeiro,W,RNC,ADCC,ABS,SF,2005
Ronaldo Souza,W,RNC,ADCC,ABS,F,2005
Thiago Borges,W,Armbar,World Champ.,100KG,R1,2005
Fernando Margarida,W,Choke from back,World Champ.,100KG,SF,2005
Alexandre Ribeiro,W,Pts: 12x2,World Champ.,100KG,F,2005
Fernando Piero,W,Armbar,World Champ.,ABS,R1,2005
Robert Oliveira,W,Choke,World Champ.,ABS,R2,2005
Fernando Marques,W,Armbar,World Champ.,ABS,1/4F,2005
Saulo Ribeiro,W,Cross choke,World Champ.,ABS,SF,2005
T. Gaia,W,Submission,Pan American,ABS,R1,2006
Vinny Magalhaes,W,Choke from back,Pan American,ABS,1/4F,2006
Rafael Lovato,W,Armbar,Pan American,ABS,SF,2006
Alexandre Ribeiro,W,Triangle,Pan American,ABS,F,2006
Pedro Schmall,W,Choke from back,World Champ.,100KG,1/4F,2006
Rodrigo Comprido,W,Armbar,World Champ.,100KG,SF,2006
Robert Drysdale,W,Cross ck. f/ mount,World Champ.,100KG,F,2006
Zumbi Machado,W,Choke from back,World Champ.,ABS,R1,2006
Rodrigo Cavaca,W,Cross choke,World Champ.,ABS,1/4F,2006
Marcelo Garcia,W,Choke from back,World Champ.,ABS,SF,2006
Jon Einemo,W,Pts: 5x0,ADCC,ABS,SPF,2007
Tim Carpenter,W,Armbar,World Champ.,100KG,R1,2007
Adriano Camolesi,W,Choke from back,World Champ.,100KG,1/4F,2007
Rodrigo Comprido,W,Cross choke,World Champ.,100KG,SF,2007
Robert Drysdale,W,Choke from back,World Champ.,100KG,F,2007
Rodrigo Cavaca,W,Armbar,World Champ.,ABS,R1,2007
Fernando Margarida,W,Pts: 9x5,World Champ.,ABS,1/4F,2007
Robert Drysdale,W,Submission,World Champ.,ABS,SF,2007
Romulo Barral,W,Choke from back,World Champ.,ABS,F,2007
Rodrigo Cavaca,W,Submission,World Champ.,O100KG,R1,2008
Luigi Mondelli,W,Choke from back,World Champ.,O100KG,1/4F,2008
Eduardo Telles,W,Pts: 0x0, Adv,World Champ.,O100KG,SF,2008
Leonardo Leite,W,Cross choke,World Champ.,O100KG,F,2008
Paul Halme,W,Choke,World Champ.,ABS,R1,2008
Tiago Pereira,W,Choke,World Champ.,ABS,R2,2008
Alexandre Souza,W,Cross choke,World Champ.,ABS,1/4F,2008
Andre Galvao,W,Pts: 12x0,World Champ.,ABS,SF,2008
Bruno Bastos,W,Cross choke,World Champ.,100KG,1/4F,2009
Bernardo Faria,W,Ezekiel,World Champ.,100KG,SF,2009
Ricardo Abreu,W,Ezekiel,World Champ.,100KG,F,2009
Rafael Lovato,W,Cross choke,World Champ.,ABS,1/4F,2009
Claudio Calasans,W,Cross choke,World Champ.,ABS,SF,2009
