Opponent,W/L,Method,Competition,Weight,Stage,Year
Saulo Ribeiro;L;Pts: 3x0;ADCC;88KG;F;2003
Roger Gracie;L;Pts: 2x0;European Open;ABS;F;2005
Roger Gracie;L;RNC;ADCC;ABS;F;2005
Demian Maia;L;Adv;World Cup;88KG;F;2005
Alexandre Ribeiro;L;Pts: 2x0;World Cup;O75KG;F;2005
Braulio Estima;L;Pts: 3x0;ADCC;ABS;SPF;2011
Unknown;W;Points;ADCC Trials;88KG;NA;2003
Fernando Margarida;W;Points;ADCC Trials;88KG;NA;2003
Ryan Gracie;W;Pts: 5x0;ADCC;88KG;R1;2003
Matt Lindland;W;Armbar;ADCC;88KG;1/4F;2003
Ricardo Almeida;W;Pts: 6x0;ADCC;88KG;SF;2003
Delson Heleno;W;Pts: 6x0;BB Challenge 3;88KG;SPF;2004
Gustavo Guimaraes;W;Triangle;Golden Cup;82KG;SF;2004
Thales Leites;W;Pts: 4x0;Golden Cup;82KG;F;2004
Fabio Nascimento;W;Choke from back;Pan American;88KG;SF;2004
Braulio Estima;W;Flying triangle;Pan American;88KG;F;2004
Pascoal Castro;W;Armbar;Pan American;ABS;1/8F;2004
Fernando Piero;W;Wristlock;Pan American;ABS;1/4F;2004
Todd Margolis;W;Flying triangle;Pan American;ABS;SF;2004
Fernando Terere;W;Pts: 6x0;Pan American;ABS;F;2004
Marcelo Garcia;W;Pts: 3x2;Best Fighters;ABS;SPF;2004
Robert Fonseca;W;Kneebar;Team Nationals;88KG;SF;2004
Givanildo Santana;W;Armbar;Team Nationals;88KG;F;2004
Unknown;W;Kneebar;Brasileiro;88KG;1/4F;2004
Givanildo Santana;W;Armbar;Brasileiro;88KG;SF;2004
Roger Gracie;W;Pts: 4x2;World Champ.;ABS;F;2004
Erik Wanderlei;W;Choke;World Cup;ABS;1/4F;2004
Fabricio Werdum;W;Pts: 10x0;World Cup;ABS;SF;2004
Fernando Margarida;W;Pts: 7x0;World Cup;ABS;F;2004
Jackson Moura;W;Triangle;World Cup;88KG;R1;2004
Marco Matos;W;Armbar;World Cup;88KG;1/4F;2004
Bruno Bastos;W;Wristlock;World Cup;88KG;SF;2004
Vitor Nobrega;W;Cross choke;European Open;88KG;F;2005
Lucio Rodrigues;W;Pts: 6x0;European Open;ABS;SF;2005
Mike Weaver;W;Armbar;Budo Challenge;94KG;SF;2005
Karl Amaso;W;Triangle;Budo Challenge;94KG;F;2005
David Bielkheden;W;Kimura;ADCC;88KG;R1;2005
Robert Sulski;W;Triangle;ADCC;88KG;1/4F;2005
Dennis Hallman;W;Armbar;ADCC;88KG;SF;2005
Demian Maia;W;Pts: 0x0, Pen;ADCC;88KG;F;2005
David Avellan;W;Pts: 6x0;ADCC;ABS;R1;2005
A. Cacareco;W;Kneebar;ADCC;ABS;1/4F;2005
Marcelo Garcia;W;Kimura;ADCC;ABS;SF;2005
Saulo Ribeiro;W;Pts: 8x0;World Cup;88KG;SF;2005
Eduardo Telles;W;Clock choke;World Cup;O75KG;1/4F;2005
Gabriel Napao;W;Pts: 2x0;World Cup;O75KG;SF;2005
Alexandre Souza;W;Choke;World Champ.;88KG;R1;2005
Delson Heleno;W;Armbar;World Champ.;88KG;1/4F;2005
Antonio Sergio;W;Kimura;World Champ.;88KG;SF;2005
Braulio Estima;W;Pts: 6x0;World Champ.;88KG;F;2005
Braulio Estima;W;Pts: 9x0;World Champ.;ABS;SF;2005
Roger Gracie;W;Pts: 2x0;World Champ.;ABS;F;2005
Robert Drysdale;W;Pts: 8x0;ADCC;ABS;SPF;2009
