Opponent,W/L,Method,Competition,Weight,Stage,Year
Diogo Sampaio,L,Choke from back,Brazil Nat. Pro RJ,94KG,F,2015
Jaime Canuto,L,Armbar,Rio Winter Open,ABS,1/4F,2015
Gustavo Adolfo,L,Wristlock,Grand Slam - Rio,94KG,SF,2015
Paulo Ledesma,L,Adv,Rio Summer Open,88KG,1/4F,2016
Cassio Francis,L,Kneebar,Rio Summer Open,ABS,F,2016
Romulo Barral,L,Cross choke,Pan American,88KG,1/8F,2016
Patrick Gaudio,L,Pts: 7x0,Brasileiro,88KG,SF,2016
Rodrigo Cavaca,L,Botinha,Brasileiro,ABS,1/8F,2016
Roberto Abreu,L,Kimura,Miami Spring Open,ABS,SF,2016
Tarsis Humphreys,L,Pts: 2x0,World Champ.,88KG,1/8F,2016
Erberth Santos,L,Flying triangle,SP BJJ Pro,94KG,F,2016
Patrick Gaudio,L,Points,Rio Winter Open,88KG,SF,2016
Diego Ramalho,L,Points,Brasileiro NoGi,85KG,SF,2016
Fabio Caloi,L,Points,Brasileiro NoGi,ABS,1/4F,2016
Sidney Ramos,W,Arm in ezekiel,Brazil Nat. Pro RJ,94KG,1/4F,2015
Gio. Dellamea,W,Pts: 13x0,Brazil Nat. Pro RJ,94KG,SF,2015
unknown,W,Choke from back,Rio Winter Open,ABS,1/8F,2015
Hernandes Silva,W,Pts: 5x0,Grand Slam - Rio,94KG,1/4F,2015
Nalmir Guimaraes,W,Pts: 0x0, Adv,Grand Slam - Rio,94KG,3RD,2015
Wagner Muniz,W,Armbar,Confere 9,94KG,SPF,2016
Unknown,W,Choke from back,Conde Koma Cup,94KG,SF,2016
George Mello,W,Wrislock,Conde Koma Cup,94KG,F,2016
Romulo Caju,W,Botinha,Rei do Rio FJJRJ,94KG,SF,2016
George Mello,W,Armbar,Rei do Rio FJJRJ,94KG,F,2016
Luiz Felipe,W,Choke from back,Rio Summer Open,ABS,R1,2016
Diogo Almeida,W,Points,Rio Summer Open,ABS,1/4F,2016
Luan Carvalho,W,Pts: 2x2, Adv,Rio Summer Open,ABS,SF,2016
Juan Cleber,W,Botinha,Pan American,88KG,R1,2016
Paulo Carvalho,W,Bow and arrow,Brasileiro,88KG,R1,2016
Giacomo Zanini,W,Toe hold,Brasileiro,88KG,1/8F,2016
Rodrigo Fajardo,W,Pts: 2x0,Brasileiro,88KG,1/4F,2016
Alex Aparecido,W,DQ,Brasileiro,ABS,RD,2016
Vitor Toledo,W,Pts: 10x4,Miami Spring Open,94KG,F,2016
Inacio Neto,W,Triangle armbar,World Champ.,88KG,R1,2016
Romes Junior,W,Botinha,SP BJJ Pro,94KG,SF,2016
Paulo Carvalho,W,Toe hold,Rio Winter Open,88KG,1/4F,2016
Fabio Oliveira,W,Triangle,Brasileiro NoGi,85KG,1/4F,2016
