Opponent,W/L,Method,Competition,Weight,Stage,Year
Roberto Roleta;L;Referee Decision;Pan American;88KG;F;1996
Roberto Correa;L;Pts: 4x2;Pan American;ABS;SF;1996
Roberto Roleta;L;Armbar;Brasileiro;88KG;F;1996
Mario Sperry;L;Points;World Champ.;ABS;R2;1997
Jeff Monson;L;Adv;ADCC;99KG;F;1999
Sanae Kikuta;L;Pts: 3x0;ADCC;88KG;F;2001
Ricardo Arona;L;Pts: 2x0;ADCC;ABS;1/4F;2001
Fernando Margarida;L;Pts: 2x0;World Champ.;ABS;F;2001
Fernando Margarida;L;Baseball choke;World Champ.;88KG;F;2001
Marcio Cruz;L;Pts: 2x0;World Champ.;ABS;F;2002
Dean Lister;L;Kneebar;ADCC;ABS;1/4F;2003
Fernando Margarida;L;Pts: 4x2;World Cup;94KG;SF;2004
Demian Maia;L;Pts: 0x0, Pen;ADCC;88KG;SF;2005
Ronaldo Souza;L;Pts: 8x0;World Cup;88KG;SF;2005
Gabriel Napao;L;Pts: 5x0;World Cup;O75KG;1/4F;2005
Roger Gracie;L;Cross choke;World Champ.;ABS;SF;2005
Pablo Popovitch;L;Pts: 0x0, Adv;GQ All Star Pro;81KG;F;2007
Mike Fowler;L;Toe hold;ADCC;77KG;1/4F;2007
Romulo Barral;L;Pts: 6x0;World Champ.;88KG;F;2007
Fabricio Werdum;L;Points;ADCC;O99KG;SF;2009
Jeff Monson;L;Points;ADCC;O99KG;3RD;2009
Unknown;W;Points;Brasileiro;88KG;1/4F;1996
Ricardo Herriott;W;Points;Brasileiro;88KG;SF;1996
Guilherme Santos;W;Adv;World Champ.;82KG;1/4F;1997
Rony Rustico;W;Adv;World Champ.;82KG;SF;1997
Nino Schembri;W;Adv;World Champ.;82KG;F;1997
Ricardo Americano;W;Points;Copa Pele;N/A;SPF;1997
Ze Marcello;W;Pts: 2x0;Super Liga;ABS;1/4F;1998
Ismael Sousa;W;Pts: 13x0;Super Liga;ABS;SF;1998
Leo Dalla;W;Pts: 3x0;Super Liga;ABS;F;1998
Anderson Xavier;W;Points;World Champ.;94KG;1/4F;1998
Murilo Bustamante;W;Adv;World Champ.;94KG;SF;1998
Fabio Gurgel;W;Pts: 2x0;World Champ.;94KG;F;1998
Fabio Gurgel;W;Adv;Oscar de JJ;94KG;SPF;1998
Marcelo Hertz;W;Adv;World Champ.;88KG;R1;1999
Givanildo Santana;W;Adv;World Champ.;88KG;1/4F;1999
Ze Marcello;W;Adv;World Champ.;88KG;SF;1999
Roberto Roleta;W;Adv;World Champ.;88KG;F;1999
