Opponent,W/L,Method,Competition,Weight,Stage,Year
Michael Langhi;L;Triangle;Capital Challenge;77KG;F;2008
Kayron Gracie;L;Pts: 2x2, Adv;Pan American;82KG;SF;2010
Claudio Calasans;L;Points;World Champ.;82KG;SF;2010
Claudio Calasans;L;Pts: 4x4, Adv;European;ABS;F;2011
Braulio Estima;L;Adv;European;88KG;F;2011
Rodolfo Vieira;L;Pts: 8x0;World Champ.;ABS;1/4F;2011
Pablo Popovitch;L;Pts: 2x0;ADCC;88KG;1/4F;2011
Andre Galvao;L;Pts: 6x0;ADCC;ABS;1/4F;2011
Renato Cardoso;L;Kneebar;World Pro Trial;88KG;1/4F;2014
Leandro Lo;L;Pts: 6x0;Copa Podio;ABS;SPF;2015
Kron Gracie;W;Arm in ezekiel;World Champ.;82KG;R1;2008
Cassio Werneck;W;Pts: 2x2, Adv;World Champ.;82KG;R2;2008
Tio Chico;W;Points;World Champ.;82KG;1/4F;2008
Victor Estima;W;Arm in ezekiel;World Champ.;82KG;SF;2008
Bill Cooper;W;Pts: 6x2;World Champ.;82KG;F;2008
Adriano Silva;W;N/A;Capital Challenge;77KG;SF;2008
Augusto Vieira;W;Pts: 4x4, Adv;World Champ.;82KG;1/4F;2009
Alan Finfou;W;Choke;World Champ.;82KG;SF;2009
Diego Ferreira;W;Clock choke;Pan American;82KG;1/4F;2010
Kron Gracie;W;Pts: 4x4, Adv;World Champ.;82KG;RD;2010
Diego Gamonal;W;Points;World Champ.;82KG;1/4F;2010
Unknown;W;Katagatame;European;ABS;R1;2011
Unknown;W;Points;European;ABS;1/4F;2011
Rodrigo Cavaca;W;Toe hold;European;ABS;SF;2011
Nivaldo Oliveira;W;Pts: 2x0;Brasileiro;88KG;F;2011
Raul Castillo;W;Triangle;World Champ.;ABS;R1;2011
Eduardo Telles;W;Pts: 5x2;World Champ.;ABS;R2;2011
Unknown;W;Pts: 5x0;World Champ.;88KG;RDS;2011
Unknown;W;Pts: 3x0;World Champ.;88KG;RDS;2011
Eduardo Zanneti;W;Pts: 2x0;World Champ.;88KG;1/4F;2011
Romulo Barral;W;Pts: 4x2;World Champ.;88KG;F;2011
James Harbison;W;Points;ADCC;88KG;R1;2011
Braga Neto;W;Footlock;ADCC;ABS;R1;2011
