Opponent,W/L,Method,Competition,Weight,Stage,Year
Ricardo Rezende,L,Points,Miami Pro Trials,85KG,NA,2013
Marcus Antelante,L,Referee Decision,BJJ Tour,82KG,RR,2013
Andre Galvao,L,Bow and arrow,Pan American,ABS,R2,2013
Nate Mendelsohn,L,N/A,Pan American,76KG,R2,2013
Jurandir Conceicao,L,Footlock,Pan American,ABS,R1,2014
Brian Carlsen,L,Pts: 3x0,FIVE Cali. 2,ABS,1/4F,2014
Otavio Sousa,L,Pts: 9x0,WP Montreal,85KG,NA,2014
Abraham Marte,L,Cross choke,WP Montreal,ABS,1/4F,2014
Roberto Abreu,L,N/A,World Champ.,ABS,R2,2014
Rafael Barbosa,L,Points,World Champ.,82KG,RDS,2014
Rafael Barbosa,L,Pts: 4x2,Dallas Open,82KG,SF,2014
JT Torres,L,Points,American Nat.,82KG,SF,2014
Keenan Cornelius,L,Kneebar,No Gi Worlds,88KG,1/4F,2014
Clark Gracie,L,Referee Decision,US Nat. Pro,82KG,1/4F,2015
Yuri Simoes,L,Armbar,SF Open,ABS,SF,2015
Vitor Oliveira,L,Pts: 7x4,Pan American,82KG,1/4F,2015
Tim Spriggs,L,Referee Decision,NY Spring Open,ABS,SF,2015
Roberto Alencar,L,Adv,World Champ.,ABS,R1,2015
Victor Estima,L,Estima lock,World Champ.,82KG,1/8F,2015
James Puopolo,L,Kneebar,Santa Cruz Pro,O94KG,F,2015
Thiago Sa,L,Pts: 6x4,Pan American,88KG,1/8F,2016
Keenan Cornelius,L,Armbar,World Champ.,88KG,1/8F,2016
Diogo Sampaio,L,N/A,American Nats,88KG,F,2016
Rafael Lovato,L,Cross choke,F2W Pro 11,ABS,SPF,2016
Keenan Cornelius,L,Pts: 6x0,BJJ Pro LA,94KG,SF,2016
Wellington Dias,W,Kimura,Fall Open,76KG,F,2012
Augusto Mendes,W,Pts: 4x0,IBJJF Pro League,82KG,1/4F,2012
Nate Mendelsohn,W,Points,BJJ Tour,82KG,RR,2013
Marcus Antelante,W,Flying triangle,BJJ Tour,82KG,F,2013
Gustavo Dias,W,Referee Decision,Pan American,ABS,R1,2013
Matt Baker,W,Referee Decision,FIVE Cali. 2,82KG,1/4F,2014
Sean Roberts,W,Points,FIVE Cali. 2,82KG,SF,2014
A. Vieira,W,Armbar,Copa Podio,77KG,SPF,2014
Unknown,W,Points,American Nat.,82KG,1/4F,2014
Rodrigo Freitas,W,Points,SF Open,ABS,1/4F,2015
Ken Primola,W,Armbar,SF Open,88KG,F,2015
Oliver Geddes,W,Pts: 3x0,Pan American,82KG,R1,2015
Magid Hage,W,Points,Pan American,82KG,R3,2015
Todd Brandon,W,Points,NY Spring Open,88KG,SF,2015
Jonathan Satava,W,Adv,NY Spring Open,ABS,1/4F,2015
Thomas Oyarzun,W,Points,World Champ.,82KG,R1,2015
Sean Fisher,W,Points,American Nat.,82KG,1/4F,2015
Marcos Campos,W,Points,American Nat.,82KG,SF,2015
Darragh OConaill,W,Points,American Nat.,82KG,F,2015
Javier Yamuni,W,Points,Chicago S. Open,82KG,F,2015
Elliot Kelly,W,Points,Santa Cruz Pro,O94KG,SF,2015
Gregor Gracie,W,Referee Decision,Grand Slam LA,85KG,1/4F,2015
Alec Baulding,W,Referee Decision,Grand Slam LA,85KG,SF,2015
Lucas Barbosa,W,Pts: 0x0, Adv,Grand Slam LA,85KG,F,2015
Jason Ackerman,W,Bow and arrow,Irvine Open,94KG,SF,2015
Inacio Neto,W,Referee Decision,Irvine Open,94KG,F,2015
Brian Morizi,W,Points,San Jose Open,88KG,SF,2016
Pedro Mello,W,Pts: 2x2, Adv,San Jose Open,88KG,F,2016
Eliot Kelly,W,Pts: 4x0,San Jose Open,ABS,F,2016
Joshua Bowlin,W,Pts: 7x4,Pan American,88KG,R1,2016
Gregor Gracie,W,Pts: 4x4, Adv,World Champ.,88KG,R1,2016
Lucas Barbosa,W,Points,American Nats,88KG,SF,2016
Mauricio Alonso,W,Choke,F2W Pro 8,72KG,SPF,2016
Nick Schrock,W,Pts: 5x5, Adv,Ch. Summer Open,94KG,F,2016
Inacio Neto,W,Triangle armbar,BJJ Pro LA,94KG,1/4F,2016
Manny Rocha,W,Pts: 40x4,US Open,95KG,1/4F,2016
Tarsis Humphreys,W,Pts: 0x0, Adv,US Open,95KG,SF,2016
