Opponent,W/L,Method,Competition,Weight,Stage,Year
T. Gaia,L,Choke,Brasileiro,100KG,F,2010
Rodolfo Vieira,L,Choke from back,European Open,94KG,SF,2012
Alexandre Ceconi,L,Choke,World Champ.,94KG,1/4F,2012
Alexandre Ribeiro,L,Pts: 2x0,NoGi Worlds,100KG,SF,2012
Bernardo Faria,L,RNC,NoGi Worlds,ABS,1/4F,2012
Roberto Alencar,L,Submission,Pan American,88KG,SF,2013
Luiz Panza,L,Points,Pan American,100KG,SF,2014
Braulio Estima,L,Triangle,World Pro.,94KG,F,2014
Leo Nogueira,L,Pts: 2x0,World Champ.,100KG,1/4F,2014
Andre Galvao,L,Armbar,European,ABS,SF,2015
Tim Spriggs,L,Katagatame,World Champ.,94KG,1/8F,2015
Luiz Eduardo,W,Points,World Champ.,94KG,R1,2012
Neiman Gracie,W,Points,World Champ.,94KG,R2,2012
Antonio Peinado,W,Points,NoGi Worlds,100KG,1/4F,2012
Clark Gracie,W,Pts: 6x4,NoGi Worlds,ABS,1/8F,2012
Diogo Silva,W,Points,Pan American,88KG,R1,2013
Tiago Giussani,W,Adv,Pan American,100KG,R1,2014
Tiago Giussani,W,N/A,Pan American,100KG,1/4F,2014
Howon Jung,W,Submission,European,ABS,R2,2015
Pedro Moura,W,Choke,European,ABS,R3,2015
Renato Cardoso,W,Pts: 0x0, Adv,European,ABS,1/4F,2015
Matheus Diniz,W,Pts: 0x0, Adv,World Champ.,ABS,R1,2015
