Opponent,W/L,Method,Competition,Weight,Stage,Year
Delson Heleno;L;Pts: 2x0;World Champ.;88KG;1/4F;2006
Alexandre Ribeiro;L;Points;World Champ.;ABS;1/4F;2006
Romulo Barral;L;Pts: 2x2, Adv;Pan American;88KG;F;2007
Romulo Barral;L;Pts: 6x6, Adv;Pan American;ABS;F;2007
Delson Heleno;L;Pen;ADCC Trials;88KG;F;2007
A. Cacareco;L;Points;ADCC;ABS;1/4F;2007
Demian Maia;L;Points;ADCC;88KG;SF;2007
Saulo Ribeiro;L;Pts: 2x2, Adv;World Champ.;88KG;SF;2007
Andre Galvao;L;Referee Decision;World Champ.;ABS;R1;2007
Luiz Theodoro;L;Points;Super Challenge;ABS;SF;2007
Andre Galvao;L;Injury;Pan American;88KG;F;2008
Alexandre Ribeiro;L;Pts: 2x0;World Champ.;94KG;SF;2008
Marcello Salazar;L;N/A;NoGi Worlds;88KG;R1;2008
Otavio Sousa;L;Points;Capital Challenge;88KG;SF;2008
Rafael Rihan;L;Points;Brasileiro;88KG;F;2009
David Avellan;L;RNC;ADCC;88KG;1/4F;2009
Romulo Barral;L;Referee Decision;World Champ.;88KG;F;2009
Rodrigo Cavaca;L;Points;World Champ.;ABS;R1;2009
Gustavo Campos;L;Adv;European;ABS;SF;2010
Roger Gracie;L;Choke from back;World Champ.;ABS;1/4F;2010
Romulo Barral;L;Pts: 3x0;World Pro.;83KG;1/4F;2011
Rodolfo Vieira;L;Pts: 5x2;World Pro.;ABS;SF;2011
Vitor Toledo;L;Referee Decision;World Pro.;88KG;R1;2012
Roberto Alencar;L;Pts: 0x0;World Champ.;94KG;1/4F;2012
Rofolfo Vieira;L;Pts: 16x0;Rockstrike;ABS;NA;2012
Dean Lister;L;Heel hook;World Expo;ABS;SPF;2013
Andre Galvao;L;Kimura;Pan American;88KG;R1;2013
Claudio Calasans;L;Pts: 6x0;World Pro;82KG;1/4F;2013
Marcus Almeida;L;Points;World Pro;ABS;SF;2013
Claudio Calasans;L;Adv;World Pro;ABS;3PLC;2013
Gustavo Campos;L;Points;World Champ.;88KG;1/4F;2013
