Opponent,W/L,Method,Competition,Weight,Stage,Year
Gilbert Burns,L,Pts: 2x0,No Gi Worlds,79KG,1/4F,2010
Victor Estima,L,Estima lock,No Gi Worlds,82KG,F,2011
Claudio Calasans,L,Armbar,Pan American,82KG,1/4F,2012
Davi Ramos,L,Points,Gramado Trials,75KG,F,2012
Philipe Monica,L,Armbar,World Champ.,76KG,R3,2012
Lucas Lepri,L,Ezekiel,World Champ.,76KG,SF,2012
Vitor Oliveira,L,Guillotine,NoGi Worlds,82KG,1/4F,2012
Claudio Mattos,L,Pts: 5x0,World Pro Trial,76KG,F,2014
Andris Brunovskis,L,Pts: 0x0, Adv,Pan American,76KG,1/4F,2015
Davi Ramos,L,Pts: 4x0,ADCC RJ,77KG,SF,2015
Thiago Gaia,L,Referee Decision,ADCC SP,77KG,1/4F,2015
Luan Carvalho,L,Adv,Brazil Nat. Pro RJ,76KG,R1,2015
Michael Langhi,L,Pts: 0x0, Adv,NoGi Worlds,76KG,SF,2015
Sam Gibson,L,DQ,European Open,76KG,1/4F,2016
Mansher Khera,L,Pts: 6x2,Pan American,76KG,1/8F,2016
Mansher Khera,L,Pts: 2x0,World Champ.,76KG,R1,2016
Caio Almeida,L,Ezekiel,Sao Paulo Open,76KG,R1,2016
Murilo Santana,W,Guillotine,No Gi Worlds,82KG,1/4F,2011
Stefan Stoianov,W,N/A,Pan American,82KG,R1,2012
Vitor Oliveira,W,Points,Pan American,82KG,R2,2012
Thiago Rocha,W,Choke from back,Gramado Trials,75KG,SF,2012
John Rickel,W,N/A,World Champ.,76KG,R1,2012
Vinicius Marinho,W,Botinha,World Champ.,76KG,1/4F,2012
Charles do Bronx,W,Guillotine,Fighters 98,ABS,SPF,2013
Theodoro Canal,W,Points,World Pro Trial,76KG,SF,2014
Josh Hinger,W,Footlock,No Gi Worlds,79KG,1/4F,2014
Enrico Cocco,W,Pts: 2x0,No Gi Worlds,79KG,SF,2014
Rodrigo Freitas,W,Toe hold,Pan American,76KG,R2,2015
Kim Terra,W,Heel hook,ADCC RJ,77KG,R2,2015
Thiago Mageste,W,Guillotine,ADCC SP,77KG,R1,2015
Ricardo Rocha,W,Botinha,SP Open,76KG,F,2015
Marco Queiroz,W,N/A,SP Open NoGi,74KG,SF,2015
Fabio Caloi,W,Points,SP Open NoGi,74KG,F,2015
Marcus Wilson,W,Footlock,NoGi Worlds,76KG,1/8F,2015
Fabio Caloi,W,N/A,NoGi Worlds,76KG,1/4F,2015
Pedro Mendonca,W,Botinha,European Open,76KG,R1,2016
Gyula SzabÃ³,W,N/A,Rome Open,76KG,1/4F,2016
Douglas Barcelos,W,N/A,Rome Open,76KG,SF,2016
Ralf Carneborn,W,Footlock,European NoGi,76KG,SF,2016
Gyula SzabÃ³,W,Submission,European NoGi,76KG,F,2016
Roberto Satoshi,W,Botinha,World Champ.,76KG,R1,2016
Paulo Cota,W,Botinha,Floripa Open,76KG,SF,2016
Fabio Caloi,W,Adv,Floripa Open,76KG,F,2016
