Opponent,W/L,Method,Competition,Weight,Stage,Year
Claudio Mattos,L,Calf slicer,ADCC RJ,77KG,R1,2015
Gabriel Rollo,L,Armbar,ADCC SP,77KG,1/4F,2015
Mansher Khera,L,RNC,NoGi Worlds,76KG,SF,2015
Mario Andre,W,Pts: 1x0,Rematch G.,77KG,SPF,2014
Eduardo Inojosa,W,RNC,Submission Open,ABS,F,2015
Unknown,W,Palm-to-palm ck.,ADCC SP,77KG,R1,2015
Thiago Abreu,W,Referee Decision,ADCC SP,77KG,1/4F,2015
J. Gracie,W,RNC,Mandala,77KG,SPF,2015
Eduardo Marinho,W,Points,Brasileiro NoGi,73KG,1/4F,2015
Fabio Caloi,W,Points,Brasileiro NoGi,73KG,1/4F,2015
Rafael Mansur,W,Pts: 4x0,Brasileiro NoGi,73KG,F,2015
Andreas Perales,W,Triangle,NoGi Worlds,76KG,1/8F,2015
Francisco Iturralde,W,Referee Decision,NoGi Worlds,76KG,1/4F,2015
