Opponent,W/L,Method,Competition,Weight,Stage,Year
Braulio Estima,L,Choke from back,World Champ.,88KG,1/4F,2014
Felipe Cesar,L,Pts: 8x4,SP Open NoGi,88KG,SF,2014
Erberth S.,L,Pts: 6x2,Copa Podio,85KG,GP,2014
Patrick Gaudio,L,Pts: 6x4,Copa Podio,85KG,GP,2014
Felipe Pena,L,Choke from back,Copa Podio,85KG,GP,2014
Gregor Gracie,L,Choke,Copa Podio,85KG,GP,2014
Henrique Lima,L,Submission,European,ABS,R2,2015
Max Carvalho,L,Triangle,European,88KG,1/4F,2015
Charles Negromonte,L,Pts: 6x4,London Winter Op.,ABS,SF,2015
Murilo Santana,L,Choke from back,Pan American,88KG,1/4F,2015
Renato Cardoso,L,Triangle,World Champ.,88KG,1/4F,2015
Marcos Tinoco,L,Pts: 2x0,NoGi Pan Ams,88KG,SF,2015
Victor Silverio,L,Pts: 4x2,Miami Open,88KG,F,2015
Lucas Barbosa,L,Pts: 2x0,NoGi Worlds,88KG,F,2015
Marcos Tinoco,L,Pts: 2x2, Adv,IBJJF NY Pro,94KG,SF,2015
Gregor Gracie,L,Points,UAEJJF NYC Pro,94KG,1/4F,2016
Mahamed Aly,L,Pts: 2x2, Adv,UAEJJF NYC Pro,HWABS,F,2016
Murilo Santana,L,Armbar,Pan American,88KG,1/4F,2016
Erberth Santos,L,Choke from back,World Pro,ABS,R2,2016
Charles Negromonte,L,Pts: 2x0,World Pro,85KG,R1,2016
Vitor Oliveira,L,Injury,Atlanta BJJ Pro,94KG,SF,2016
Matheus Diniz,L,Pts: 5x2,World Champ.,88KG,R1,2016
Charles Negromonte,L,Pts: 7x0,NoGi Worlds,85KG,1/4F,2016
Yuri Simoes,L,Pts: 0x0, Adv,NoGi Worlds,ABS,1/4F,2016
Unknown,W,Points,European,88KG,1/4F,2014
Vitor Toledo,W,Points,European,88KG,SF,2014
Julien Silva,W,Bow and arrow,European,88KG,R2,2015
Jason Tan,W,Pts: 16x0,London Winter Op.,88KG,SF,2015
Julien Cazier,W,Choke,London Winter Op.,88KG,F,2015
Nic Ruben,W,Points,London Winter Op.,ABS,1/4F,2015
InÃ¡cio Neto,W,Pts: 11x10,Pan American,88KG,R2,2015
Jordan Lutsky,W,Points,Las Vegas Open,88KG,SF,2015
Pedro Mello,W,Pts: 6x4,Las Vegas Open,88KG,F,2015
Victor Bonfim,W,Referee Decision,World Champ.,88KG,1/8F,2015
Lucas Rocha,W,Pts: 2x0,Santa Cruz Pro,94KG,F,2015
Gottrell King,W,Toe hold,NoGi Pan Ams,88KG,1/4F,2015
Gustavo Santiago,W,Omoplata,Miami Open,88KG,SF,2015
Ricardo Rezende,W,Referee Decision,Miami Open,ABS,SF,2015
Gustavo Santiago,W,Choke from back,Miami Open,ABS,F,2015
Steven Patterson,W,Triangle,NoGi Worlds,88KG,1/8F,2015
Josh Hinger,W,Toe hold,NoGi Worlds,88KG,1/4F,2015
Charles Negromonte,W,Pts: 3x0,NoGi Worlds,88KG,SF,2015
Abraham Marte,W,Pts: 4x0,UAEJJF NYC Pro,HWABS,SF,2016
Tanner Rice,W,Pts: 6x4,Pan American,88KG,1/8F,2016
Jose Oliveira,W,Shoulder lock,World Pro,ABS,R1,2016
Craig Jones,W,Pts: 7x0,One Challenge,O75KG,SF,2016
Viking Wong,W,Pts: 6x4,One Challenge,O75KG,F,2016
Felipe Cesar,W,Pts: 2x2, Adv,NoGi Worlds,ABS,1/8F,2016
