Opponent,W/L,Method,Competition,Weight,Stage,Year
Leandro Lo,L,Pts: 8x2,Brasileiro NoGi,73KG,SF,2011
Joao Miyao,L,Referee Decision,World Pro.,64KG,F,2014
Leo Sagioro,L,Points,World Pro,65KG,1/4F,2015
Paulo Miyao,L,Pts: 8x2,Grand Slam Tokyo,69KG,F,2015
Roberto Satoshi,L,Bow and arrow,Grand Slam LA,77KG,SF,2015
Paulo Miyao,L,Choke from back,World Pro,69KG,SF,2016
Gabriel Marinho,W,Pts: 3x0,Brasileiro NoGi,73KG,1/4F,2011
Unknown,W,Footlock,Arab Cup,SF,SF,2012
Higor Polonio,W,Pts: 2x2, Adv,Arab Cup,F,F,2012
Bruno Silva,W,Arm in ezekiel,World Pro.,64KG,1/4F,2014
Samir Chantre,W,Referee Decision,World Pro.,64KG,SF,2014
Pedro Cruz,W,Pts: 6x0,Dubai BJJ Pro,76KG,1/4F,2015
Cesar Miahira,W,Pts: 4x2,Dubai BJJ Pro,76KG,SF,2015
Rafael Campos,W,Armbar,Dubai BJJ Pro,76KG,F,2015
Yuta Kuwahara,W,Armbar,World Pro,65KG,R1,2015
Hiroaki Otsuka,W,Points,Grand Slam Tokyo,69KG,SF,2015
Vinicius Agudo,W,Pts: 8x2,Grand Slam LA,77KG,1/4F,2015
David Younan,W,Pts: 6x2,London Grand Slam,69KG,SF,2016
Max Campos,W,Referee Decision,London Grand Slam,69KG,F,2016
Erick De Sa,W,Armbar,World Pro,69KG,1/8F,2016
Isaque Paiva,W,Pts: 4x0,World Pro,69KG,1/4F,2016
Rafael Mansur,W,Pts: 2x0,World Pro,69KG,3RD,2016
Yuto Hirao,W,Points,Grand Slam Tokyo,69KG,SF,2016
Daisuke Shiraki,W,Referee Decision,Grand Slam Tokyo,69KG,F,2016
