Opponent,W/L,Method,Competition,Weight,Stage,Year
Leo Nogueira,L,Pts: 5x0,Copa Podio,94KG,GP,2014
Travis Stevens,L,Pts: 7x0,Copa Podio,94KG,GP,2014
Yuri Simoes,L,Pts: 8x2,No Gi Worlds,ABS,1/4F,2014
Lucas Leite,L,Pts: 8x0,No Gi Worlds,94KG,SF,2014
Keenan Cornelius,L,Referee Decision,Pan American,ABS,R3,2015
Lucas Rocha,L,Pts: 2x0,Pan American,94KG,SF,2015
Francisco Iturralde,L,DQ,NY Spring Open,ABS,F,2015
Felipe Pena,L,Pts: 2x0,Copa Podio,95KG,SF,2015
Erberth Santos,L,Pts: 0x0, Adv,Copa Podio,95KG,3RD,2015
Lucas Leite,L,Referee Decision,World Champ.,94KG,SF,2015
Bernardo Faria,L,Choke from back,Pan American,ABS,SF,2016
Luiz Panza,W,Pts: 3x2,Copa Podio,94KG,GP,2014
Jason Selva,W,Katagatame,No Gi Worlds,ABS,RDS,2014
Murilo Santana,W,Adv,No Gi Worlds,ABS,RDS,2014
Roberto Alencar,W,Pts: 0x0, Adv,No Gi Worlds,94KG,1/4F,2014
Leo Nogueira,W,Pts: 10x0,World Expo,ABS,SPF,2014
P. Hulk,W,Choke from back,Copa Podio,94KG,SPF,2014
Diogo Almeida,W,Bow and arrow,Pan American,ABS,R2,2015
Elliot Kelly,W,Pts: 2x0,Pan American,94KG,R2,2015
Marcelo Mafra,W,Choke from back,Pan American,94KG,1/4F,2015
Kevin Sheridan,W,Points,NY Spring Open,94KG,SF,2015
Roberto Torralbas,W,Points,NY Spring Open,94KG,F,2015
Tanner Rice,W,Referee Decision,NY Spring Open,ABS,SF,2015
Erberth Santos,W,Pts: 2x0,Copa Podio,95KG,GP,2015
Nelton Pontes,W,Pts: 4x0,Copa Podio,95KG,GP,2015
Fernando Reis,W,Pts: 5x0,Copa Podio,95KG,GP,2015
Vinny Magalhaes,W,Adv,Copa Podio,95KG,GP,2015
Manuel Diaz,W,Adv,World Champ.,ABS,R1,2015
Tarcisio Jardim,W,Katagatame,World Champ.,94KG,1/8F,2015
Keenan Cornelius,W,Pts: 2x0,World Champ.,94KG,1/4F,2015
Bruno Bastos,W,Referee Decision,FIVE SL,ABS,1/4F,2015
Lucas Rocha,W,Pts: 2x0,FIVE SL,ABS,SF,2015
Yuri Simoes,W,Pts: 2x0,FIVE SL,ABS,F,2015
Carlos Farias,W,Pts: 17x0,Pan American,ABS,R2,2016
Otavio Nalati,W,Pts: 0x0, Adv,Pan American,ABS,1/8F,2016
Joao Rocha,W,Pts: 5x2,Pan American,ABS,1/4F,2016
