Opponent,W/L,Method,Competition,Weight,Stage,Year
Koji Shibamoto;L;Pts: 2x2, Adv;Asian Open;57KG;F;2015
Mikey Musumeci;L;Pts: 2x2, Adv;Pan American;57KG;1/4F;2016
Joao Miyao;L;Points;World Champ.;57KG;R1;2016
Hisashi Ezaki;W;Choke from back;Grand Slam Tokyo;62KG;SF;2015
Makoto Sawada;W;Pts: 8x2;Asian Open;57KG;1/4F;2015
Hisashi Ezaki;W;Pts: 4x0;Asian Open;57KG;SF;2015
Hideyuki Yamada;W;Points;Japanese National;64KG;SF;2016
Shimon Kagiyama;W;Triangle armbar;Japanese National;64KG;F;2016
Kazuya Kawashima;W;Pts: 2x0;All Japan;64KG;1/4F;2016
Hideyuki Yamada;W;Referee Decision;All Japan;64KG;SF;2016
Yuuto Hirao;W;Pts: 4x2;All Japan;64KG;F;2016
Kazuyuki Miyazi;W;Pts: 7x2;Japanese Nat.;64KG;SF;2016
Shimon Kagiyama;W;Armbar;Japanese Nat.;64KG;F;2016
Masaaki Todokoro;W;Pts: 0x0, Adv;Asian Open;57KG;SF;2016
Koji Shibamoto;W;Pts: 2x2, Adv;Asian Open;57KG;F;2016
Kazuhiro Miyachi;W;Pts: 2x0;Grand Slam Tokyo;62KG;F;2016
