Opponent,W/L,Method,Competition,Weight,Stage,Year
Alan Finfou,L,Pts: 2x0,European Open,82KG,SF,2008
Sergio Moraes,L,Arm in ezekiel,World Champ.,82KG,SF,2008
Marcelo Garcia,L,Choke,World Pro.,ABS,1/4F,2009
Tarsis Humphreys,L,Pts: 2x0,World Pro.,88KG,F,2009
Carlos Ferreira,L,Choke from back,Pan American,82KG,1/4F,2009
Romulo Barral,L,Choke,World Champ.,88KG,SF,2009
Marcelo Garcia,L,Pts: 3x0,World Champ.,82KG,1/4F,2011
Marcelo Garcia,L,Guillotine,ADCC,77KG,1/4F,2011
Pablo Popovitch,L,Pts: 2x0,ADCC,ABS,1/4F,2011
Rodolfo Vieira,L,Choke from back,European Open,ABS,1/4F,2012
Kron Gracie,L,DQ,Pan American,ABS,1/4F,2012
Claudio Calasans,L,Pts: 4x2,Pan American,82KG,F,2012
Claudio Calasans,L,Pts: 4x4, Adv,World Champ.,82KG,SF,2012
Kron Gracie,L,Points,World Expo,ABS,SPF,2012
JT Torres,D,N/A,Metamoris 2,ABS,SPF,2013
Marcos Souza,L,Pts: 2x0,World Pro,82KG,F,2013
Marcos Souza,L,Pts: 2x0,World Pro,82KG,F,2013
Claudio Calasans,L,Pts: 8x4,World Champ.,82KG,SF,2013
Leandro Lo,L,Points,Pan American,ABS,1/4F,2014
Leandro Lo,L,Pts: 5x0,Pan American,82KG,SF,2014
Marcus Almeida,L,Choke from back,World Pro.,ABS,1/4F,2014
Leandro Lo,L,Referee Decision,World Pro.,82KG,F,2014
Leandro Lo,L,Pts: 7x2,World Champ.,82KG,SF,2014
Gabriel Lucas,L,Adv,Pan American,ABS,R2,2015
Leandro Lo,L,Pts: 4x2,Pan American,82KG,SF,2015
Felipe Pena,L,Pts: 2x0,ADCC RJ,88KG,SF,2015
Leandro Lo,L,Pts: 0x0, Adv,World Pro,85KG,F,2015
Claudio Calasans,L,Pts: 4x2,World Champ.,82KG,SF,2015
Marcos Tinoco,L,Pts: 6x4,World Champ.,82KG,R2,2016
Max Gimenis,D,Pts: 0x0,Copa Podio,86KG,GP,2016
N. Meregali,L,Injury,Copa Podio,86KG,GP,2016
Jonatas Novaes,W,N/A,European Open,82KG,1/4F,2008
Lucas Leite,W,Armbar,World Champ.,82KG,R1,2008
Mike Fowler,W,Triangle,World Champ.,82KG,1/4F,2008
Unknown,W,Kneebar,Pan American,82KG,1/8F,2009
Tony Eduardo,W,Armbar,World Champ.,88KG,1/4F,2009
Ryan Beauregard,W,Points,World Champ.,82KG,RDS,2011
Roger Roberto,W,Botinha,World Champ.,82KG,RDS,2011
Sanshiro Nakamura,W,Pts: 2x0,ADCC,77KG,R1,2011
Joao Assis,W,Pts: 2x0,ADCC,ABS,R1,2011
Gabriel Rollo,W,Estima lock,No Gi Worlds,82KG,1/4F,2011
Davi Ramos,W,Estima lock,No Gi Worlds,82KG,SF,2011
Thiago Abreu,W,Estima lock,No Gi Worlds,82KG,F,2011
Clark Gracie,W,Estima lock,British Open,82KG,F,2012
Clark Gracie,W,Armbar,European Open,82KG,SF,2012
Alan Finfou,W,Triangle,European Open,82KG,F,2012
Evan Cathey,W,Cross choke,Pan American,ABS,R1,2012
Leonardo Iturralde,W,Estima lock,Pan American,ABS,R2,2012
Jeston Pages,W,Choke,Pan American,82KG,R2,2012
Marcelo Mafra,W,Ezekiel,Pan American,82KG,1/4F,2012
Kron Gracie,W,Pts: 6x2,Pan American,82KG,SF,2012
Alexandre Santos,W,Bow and arrow,World Champ.,82KG,R2,2012
Gabriel Goulart,W,Armbar,World Champ.,82KG,1/8F,2012
Diego Borges,W,Inverted triangle,World Champ.,82KG,1/4F,2012
Claudio Calasans,W,Bow and arrow,World Pro,82KG,SF,2013
Clark Gracie,W,Pts: 2x0,World Champ.,82KG,1/4F,2013
Osvaldo Moizinho,W,Pts: 8x2,IBJJF Pro League,82KG,SF,2013
Vitor Oliveira,W,Inverted triangle,IBJJF Pro League,82KG,F,2013
Abraham Marte,W,Estima lock,Pan American,ABS,R3,2014
Sergio Silva,W,Pts: 12x2,Pan American,82KG,R1,2014
Nic Nikolaisen,W,Inverted triangle,Pan American,82KG,1/4F,2014
Marcos Souza,W,Submission,World Pro.,82KG,SF,2014
Robson Lima,W,Armbar,World Champ.,82KG,RDS,2014
Marcelo Mafra,W,Adv,World Champ.,82KG,RDS,2014
Mat Jubera,W,Triangle,World Champ.,82KG,RDS,2014
Calasans,W,Referee Decision,World Champ.,82KG,1/4F,2014
Stefano Correa,W,Estima lock,Pan American,82KG,R1,2015
Gleidson Curtis,W,Loop choke,Pan American,82KG,R3,2015
Vinicius Marinho,W,Referee Decision,Pan American,82KG,1/4F,2015
Julian Jabba,W,RNC,ADCC RJ,88KG,R1,2015
Felipe Figueiredo,W,Estima lock,ADCC RJ,88KG,1/4F,2015
Thiago Braga,W,Estima lock,World Pro,85KG,R1,2015
Yazan Tamimi,W,Injury,World Pro,85KG,R2,2015
Claudio Calasans,W,Pts: 0x0, Adv,World Pro,85KG,1/4F,2015
Keenan Cornelius,W,Referee Decision,World Pro,85KG,SF,2015
Tanner Rice,W,Estima lock,World Champ.,82KG,1/8F,2015
Murilo Santana,W,Referee Decision,World Champ.,82KG,1/4F,2015
Arturo Salas,W,Pts: 0x0, Adv,London Grand Slam,85KG,1/4F,2016
AP Gil,W,Estima lock,British National,82KG,F,2016
Reid Reale,W,Armbar,British National,ABS,SF,2016
Jackson Sousa,W,Pts: 2x0,British National,ABS,F,2016
