Opponent,W/L,Method,Competition,Weight,Stage,Year
Roger Gracie,L,Choke from back,Pan American,ABS,1/4F,2006
Alexandre Ribeiro,L,Points,ADCC,99KG,SF,2009
Braulio Estima,L,Points,ADCC,ABS,SF,2009
Daniel Valverde,L,Pts: 0x0, Adv,UFC Expo,ABS,SPF,2009
Andre Galvao,L,Pts: 4x0,Ultimate Abs.,ABS,SF,2011
Murilo Santana,L,Referee Decision,ADCC,ABS,1/4F,2011
Jared Dopp,L,Pen,ADCC,O99KG,1/4F,2013
Keenan Cornelius,D,N/A,Metamoris 4,ABS,SPF,2014
Erberth Santos,L,Pts: 6x4,Copa Podio,95KG,GP,2015
Tim Spriggs,L,Adv,Copa Podio,95KG,GP,2015
Orlando Sanchez,L,Referee Decision,ADCC,O99KG,SF,2015
Claudio Calasans,L,Referee Decision,ADCC,ABS,1/4F,2015
Carlos Francis,W,Toe hold,Pan American,ABS,R1,2006
Robert Drysdale,W,Pts: 1x0,LA Sub-X,ABS,SPF,2006
Rodrigo Cavaca,W,Heel hook,ADCC,99KG,R1,2009
Marcio Cruz,W,Flying armbar,ADCC,99KG,1/4F,2009
Glover Teixeira,W,Triangle armbar,ADCC,99KG,3RD,2009
Dean Lister,W,Points,ADCC,ABS,R1,2009
Chris Wideman,W,Flying armbar,ADCC,ABS,1/4F,2009
Gunnar Nelson,W,Pts: 3x0,ADCC,ABS,3RD,2009
Daniel Simoes,W,Banana split,Ultimate Abs.,ABS,R1,2011
Marcus Almeida,W,Heel hook,Ultimate Abs.,ABS,1/4F,2011
Luke Costello,W,Pts: 2x0,ADCC,O99KG,R1,2011
Jose Junior,W,Footlock,ADCC,O99KG,1/4F,2011
Gerardi Rinaldi,W,Pts: 3x0,ADCC,O99KG,SF,2011
Fabricio Werdum,W,Pts: 2x0,ADCC,O99KG,F,2011
Bruno Bastos,W,Heel hook,ADCC,ABS,R1,2011
Wang Yan Bo,W,Heel hook,ADCC,O99KG,R1,2013
Matheus Diniz,D,---,Metamoris 5,ABS,SPF,2014
Jackson Sousa,W,Referee Decision,Berkut Open,ABS,SPF,2015
Jackson Sousa,W,Toe hold,Berkut Open NoGi,ABS,SPF,2015
Fernando Reis,W,Pts: 2x2, Adv,Copa Podio,95KG,GP,2015
Nelton Pontes,W,Pts: 4x2,Copa Podio,95KG,GP,2015
Paul Ardilla,W,Heel hook,ADCC,O99KG,R1,2015
Rodrigo Artilheiro,W,Twister,ADCC,O99KG,1/4F,2015
Joao Rocha,W,Heel hook,ADCC,O99KG,3RD,2015
Garry Tonon,W,Pts: 0x0, Pen,ADCC,ABS,R1,2015
Ronny Markes,W,Heel hook,Sub Underground,ABS,SPF,2016
