Opponent,W/L,Method,Competition,Weight,Stage,Year
Claudio Mattos,L,Pts: 2x0,WPC SD trials,74KG,F,2010
Marcelo Garcia,L,Submission,World Champ.,82KG,RDS,2011
Murilo Santana,L,Heel hook,ADCC Trials,77KG,NA,2011
Thiago Abreu,L,Points,Pan American,82KG,R2,2012
Bill Cooper,L,Kneebar,World Champ.,82KG,R2,2012
Rafael Barbosa,L,Referee Decision,IBJJF Pro League,94KG,1/4F,2012
DJ Jackson,L,Pts: 0x0, Adv,NoGi Worlds,82KG,SF,2012
Alexandre Ribeiro,L,Pts: 4x0,NoGi Worlds,ABS,R1,2012
Marcelo Lapela,L,Armbar,Pan American,82KG,SF,2013
Otavio Sousa,L,Armbar,World Champ.,82KG,SF,2013
Flavio Almeida,L,Pts: 4x0,Chicago S. Open,ABS,F,2013
Francisco Iturralde,L,RNC,NoGi Pan American,79KG,F,2013
Luiz Panza,L,Botinha,NoGi Pan American,ABS,SF,2013
Gilbert Burns,L,Pts: 2x0,NoGi Worlds,82KG,F,2013
Victor Estima,L,Inverted triangle,IBJJF Pro League,82KG,F,2013
Charles Santos,L,Kneebar,Pan American,82KG,R1,2014
Otavio Sousa,L,Pts: 4x2,World Champ.,82KG,1/4F,2014
Otavio Sousa,L,Choke from back,NYC Pro,82KG,F,2014
Josh Hinger,L,Guillotine,SF Open,82KG,SF,2015
Otavio Sousa,L,Pts: 2x0,Pan American,82KG,SF,2015
Claudio Calasans,L,Pts: 8x4,World Champ.,82KG,F,2015
Yago Souza,L,Pts: 4x4, Adv,Pan American,82KG,F,2016
Jhonny Loureiro,L,Referee Decision,World Champ.,82KG,1/8F,2016
Edwin Najmi,L,Darce choke,Grand Slam - LA,77KG,SF,2016
Lucas Barbosa,L,Pts: 0x0,NoGi Worlds,92KG,F,2016
Rodrigo Martins,W,N/A,World Champ.,82KG,R1,2012
Thiago Abreu,W,Guillotine,NoGi Worlds,82KG,1/4F,2012
Lucas Rocha,W,Armbar,Pan American,82KG,R2,2013
Leandro Lo,W,Points,Pan American,82KG,1/4F,2013
Murilo Santana,W,Adv,World Champ.,82KG,1/4F,2013
Oliver Geddes,W,N/A,Chicago S. Open,82KG,SF,2013
Carlos Rodriguez,W,Bow and arrow,Chicago S. Open,82KG,F,2013
Leo Iturralde,W,Points,Chicago S. Open,ABS,SF,2013
P. Della Monica,W,Points,Ch. S. NoGi Open,82KG,F,2013
Leonardo Davila,W,Mounted triangle,Ch. S. NoGi Open,ABS,F,2013
Jarod Lawton,W,Armbar,Boston Summer O.,82KG,F,2013
Oliver Geddes,W,Baseball choke,Boston Summer O.,ABS,SF,2013
Magid Hage,W,Points,American Nationals,82KG,SF,2013
Sean Roberts,W,Points,American Nationals,82KG,F,2013
James Puopolo,W,Points,American Nationals,ABS,SF,2013
AJ Agazarm,W,Armbar,American Nationals,ABS,F,2013
DJ Jackson,W,Points,NoGi Worlds,82KG,SF,2013
Francisco Iturralde,W,Pts: 0x0, Adv,IBJJF Pro League,82KG,SF,2013
Jarod Lawton,W,Armbar,Boston Open,82KG,F,2013
Lucas Lepri,W,Pts: 4x2,Atlanta Open,82KG,F,2013
Fletcher Linton,W,Armbar,NY Summer Op.,82KG,F,2014
Thomas Hernan,W,N/A,World Champ.,82KG,RDS,2014
Stephen Martinez,W,Armbar,World Champ.,82KG,RDS,2014
Caio Terra,W,Choke from back,Chicago Open,ABS,F,2014
Diego Ferreira,W,Points,Dallas Open,82KG,SF,2014
Rafael Barbosa,W,Pts: 10x2,Dallas Open,82KG,F,2014
Nik Ruben,W,Kneebar,No Gi Pan Am.,79KG,1/4F,2014
Francisco Iturralde,W,Points,No Gi Pan Am.,79KG,SF,2014
Enrique Coco,W,RNC,No Gi Pan Am.,79KG,F,2014
Claudio Calasans,W,Adv,IBJJF Pro League,82KG,SF,2014
Francisco Iturralde,W,Pts: 4x2,IBJJF Pro League,82KG,F,2014
Vinicius Agudo,W,Choke,NYC Pro,82KG,SF,2014
Nathan Mendelsohn,W,Injury,Long Beach Pro,82KG,SF,2014
Marcelo Mafra,W,Choke from back,Long Beach Pro,82KG,F,2014
Stephen Martinez,W,N/A,JJ World League,82KG,F,2015
Peter Runez,W,Choke from back,Houston Open,82KG,F,2015
Carlos Vidal,W,Choke from back,Houston Open,ABS,SF,2015
AJ Sousa,W,Referee Decision,Pan American,82KG,R1,2015
Thomas Oyarzun,W,Pts: 8x0,Pan American,82KG,R3,2015
Tanner Rice,W,Pts: 7x4,Pan American,82KG,1/4F,2015
Mathew Simms,W,N/A,Chicago Spring,82KG,1/4F,2015
Unknown,W,N/A,Chicago Spring,82KG,SF,2015
Sean Fisher,W,Choke from back,Chicago Spring,82KG,F,2015
Marcelo Mafra,W,Referee Decision,World Champ.,82KG,1/4F,2015
Otavio Sousa,W,Pts: 2x0,World Champ.,82KG,SF,2015
Kevin Mahecha,W,Pts: 2x2, Adv,Santa Cruz Open,82KG,1/4F,2015
Samuel Snow,W,N/A,Atlanta Open,82KG,SF,2016
Pedro Henrique,W,Pts: 6x2,Atlanta Open,82KG,F,2016
Ekiezer Skaf,W,Pts: 4x2,Pan American,82KG,1/8F,2016
Felipe Cesar,W,Pts: 4x2,Pan American,82KG,1/4F,2016
JT Torres,W,Pts: 6x0,Pan American,82KG,SF,2016
Thiago Sa,W,Injury,Atlanta BJJ Pro,94KG,SF,2016
Murilo Santana,W,Points,Atlanta BJJ Pro,94KG,F,2016
Brian Morizi,W,Pts: 2x2, Adv,Grand Slam - LA,77KG,1/4F,2016
Bruno Alves,W,Pts: 9x0,Grand Slam - LA,77KG,3RD,2016
Roberto Torralbas,W,Referee Decision,NoGi Worlds,92KG,1/4F,2016
William Bush,W,Guillotine,NoGi Worlds,92KG,SF,2016
