Opponent,W/L,Method,Competition,Weight,Stage,Year
Royler Gracie;L;Adv;World Champ.;70KG;F;1997
Leonardo Vieira;L;Pts: 24x4;Copa Pele;76KG;SPF;1997
Leonardo Vieira;L;Adv;ADCC;77KG;1/4F;2000
Ricardo Almeida;L;Kneebar;ADCC;ABS;1/4F;2000
Leonardo Vieira;L;Pts: 6x4;Rio x Sao Paulo;75KG;SPF;2000
Marcelo Garcia;L;RNC;ADCC;77KG;SF;2003
Fernando Terere;L;Referee Decision;Polaris 4;82KG;SPF;2016
Marco Aurelio;W;Points;World Champ.;70KG;SF;1997
Alexandre Soca;W;Pts: 5x0;Team Nationals;88KG;SF;1997
Octavio Couto;W;Pts: 18x0;Team Nationals;88KG;F;1997
Marcio Feitosa;W;Pts: 2x2, Adv;World Champ.;76KG;F;1999
Leonardo Vieira;W;Pts: 2x0;World Champ.;76KG;SF;2000
Marcio Feitosa;W;Pen;World Champ.;76KG;F;2000
Rumina Sato;W;Pts: 4x0;ADCC;77KG;R1;2000
Flavio Fernandes;W;Armbar;Copa Leopoldina;ABS;R1;2001
Rodrigo Fernandes;W;Ezekiel;Copa Leopoldina;ABS;SF;2001
Bruno Fernandes;W;Choke;World Champ.;82KG;SF;2001
Fernando Terere;W;Pts: 2x0;World Champ.;82KG;F;2001
Daniel Moraes;W;Points;Arnold Classic;73KG;F;2002
Jason Ramsterrer;W;RNC;ADCC;77KG;R1;2003
Pablo Popovitch;W;Points;ADCC;77KG;1/4F;2003
Chris Brown;W;Pts: 3x0;ADCC;77KG;3PLC;2003
Michael O'Donnell;W;Choke;Arnold Classic;73KG;1/4F;2003
Daniel Moraes;W;Pts: 2x0;Arnold Classic;73KG;SF;2003
Nino Schembri;W;Pts: 8x0;World Expo;ABS;SPF;2014
Nakamura Daisuke;W;Choke from back;Polaris 2;76KG;SPF;2015
