Opponent,W/L,Method,Competition,Weight,Stage,Year
Gabriel Rollo;L;Pts: 0x0, Adv;Brazil Nat. Pro;U77KG;SF;2015
Gabriel Rollo;L;Pts: 4x2;SP National Pro;ABS;1/4F;2015
Diogo Sampaio;L;Referee Decision;Grand Slam - Rio;85KG;1/4F;2015
Erberth Santos;L;Submission;Grand Slam - Rio;ABS;R1;2015
Erick Souza;W;Pts: 4x0;Brazil Nat. Pro;77KG;R1;2015
Claudio Mattos;W;Pts: 0x0, Adv;Brazil Nat. Pro;77KG;1/4F;2015
Ricardo Rocha;W;Pts: 2x0;Brazil Nat. Pro;77KG;SF;2015
Felipe Cesar;W;Pts: 0x0, Adv;Brazil Nat. Pro;77KG;F;2015
Luciano Macedo;W;Pts: 5x0;Brazil Nat. Pro;U77KG;1/4F;2015
Unknown;W;Choke from back;SP National Pro;77KG;R1;2015
Unknown;W;Pts: 6x0;SP National Pro;77KG;1/4F;2015
