Winner,Looser,Method,Weight Division,RDS
Joao Miyao,Tomoyuki Hashimoto,Pts,57KG,R1
Rodnei Barbosa,Andrea Verdemare,Submission,57KG,R1
Lucas Pinheiro,T. Yoshioka,Pts,57KG,R1
Koji Shibamoto,Gabriel Rosenberg,Submission,57KG,R1
Tiago Barros,Ivaniel Oliveira,Pts,57KG,1/4F
Joao Miyao,Lucas Pinheiro,Advantage,57KG,1/4F
Caio Terra,Koji Shibamoto,Advantages,57KG,1/4F
Bruno Malfacine,Rodnei Barbosa,Pts,57KG,1/4F
Caio Terra,Joao Miyao,Pts,57KG,SF
Bruno Malfacine,Tiago Barros,Submission,57KG,SF
Mikey Musumeci,Luis Pinto,Submission,64KG,R1
Isaac Doederlein,Daniel Beleza,Advantage,64KG,R1
Paulo Santana,Washington Lima,n/a,64KG,R1
Paulo Miyao,Paulo Santana,n/a,64KG,R2
Ary Farias,Milton Bastos,Submission,64KG,R2
Gabriel Moraes,Mayko Borges,Pts,64KG,R2
Gianno Grippo,Jordy Peute,n/a,64KG,R2
Hiago George,Kazuhiro Miyachi,Submission,64KG,R2
Tiago Barros,Rafael Freitas,Pts,64KG,R2
Paulo Miyao,Takuto Kako,Pts,64KG,1/4F
Ary Farias,Gabriel Moraes,Pts,64KG,1/4F
Isaac Doederlein,Mikey Musumeci,Advantage,64KG,1/4F
Hiago George,Gianni Grippo,Pts,64KG,1/4F
Ary Farias,Hiago George,Ref. decision,64KG,SF
Paulo Miyao,Isaac Doederlein,Pts,64KG,SF
Ed Ramos,Wanki Chae,n/a,70KG,R1
Samir Chantre,Vitor Matos,n/a,70KG,R1
Sergio Gonzalez,Wellington Dias,Submission,70KG,R1
Italo Lins,Jeffrey Cummings,Pts,70KG,R1
Nicollas Welker,Diego Bispo,n/a,70KG,R1
Isaque Paiva,Thiago Macedo,Advantage,70KG,R1
Fabio Caloi,Daisuke Shiraki,n/a,70KG,R1
J. Thomas,Brian Mahecha,n/a,70KG,R1
Ichitaro Tsukada,Ashley Williams,Advantage,70KG,R1
Marcio Andre,Nicollas Welker,Submission,70KG,R2
Rafael Mendes,Ichitaro Tsukada,Submission,70KG,R2
Gabriel Marangoni,Isaque Paiva,Submission,70KG,R2
