Opponent,W/L,Method,Competition,Weight,Stage,Year
Otavio Sousa;L;Pts: 9x2;World Champ.;82KG;SF;2016
Jackson Ratigueri;W;Triangle;Camp. Regional;82KG;F;2015
Gustavo Almeida;W;Armbar;Camp. Regional;ABS;F;2015
Arturo Espies;W;N/A;European Open;82KG;R1;2016
Lucas Barbosa;W;Points;European Open;82KG;1/4F;2016
Eduardo Rios;W;Points;European Open;82KG;SF;2016
Alan Finfou;W;Pts: 2x0;European Open;82KG;F;2016
Shawn Key;W;Pts: 58x0;Pan American;82KG;R1;2016
Darragh OConaill;W;Pts: 11x0;Pan American;82KG;1/8F;2016
Vinicius Marinho;W;Submission;Pan American;82KG;1/4F;2016
Otavio Sousa;W;Pts: 6x4;Pan American;82KG;SF;2016
Vitor Oliveira;W;Pts: 4x4, Adv;Pan American;82KG;F;2016
Gabriel Goulart;W;Armbar;World Champ.;82KG;R2;2016
Alan Finfou;W;N/A;World Champ.;82KG;1/8F;2016
Jhonny Loureiro;W;Pts: 2x2, Adv;World Champ.;82KG;1/4F;2016
