Opponent,W/L,Method,Competition,Weight,Stage,Year
Alexandre Ribeiro;L;Pts: 3x0;World Champ.;94KG;1/4F;2012
Rodolfo Vieira;L;Pts: 8x0;World Champ.;94KG;1/4F;2013
Jackson Sousa;L;Pts: 2x0;European;94KG;F;2014
Alexander Trans;L;Armbar;European;ABS;F;2014
Keenan Cornelius;L;Pts: 4x0;FIVE Cali. 1;ABS;F;2014
Bernardo Faria;L;Pts: 8x5;World Champ.;100KG;SF;2014
Keenan Cornelius;D;N/A;Metamoris 5;ABS;SPF;2014
Leandro Lo;L;Pts: 4x2;Pan American;ABS;1/4F;2015
Joao Rocha;L;Choke from back;World Champ.;100KG;SF;2015
Rafael Barbosa;L;Pts: 4x2;US Open;ABS;F;2015
Tim Spriggs;L;Pts: 2x0;FIVE SL;ABS;F;2015
Claudio Calasans;L;Referee Decision;ADCC;ABS;SF;2015
Felipe Pena;L;Pts: 4x2;Berkut 2;ABS;SPF;2015
Luiz Panza;L;Pts: 9x0;Pan American;100KG;SF;2016
Gordon Ryan;L;Points;EBI 6;ABS;SF;2016
Leonardo Iturralde;W;Armbar;Pan American;94KG;R1;2012
Gustavo Pires;W;Choke;Pan American;94KG;R2;2012
Rafael Lovato;W;Adv;Pan American;94KG;SF;2012
Nathan Zigler;W;Toe Hold;World Champ.;94KG;R1;2012
Oliver Geddes;W;Inverted triangle;European;ABS;R1;2014
Igor Silva;W;Armbar;European;ABS;1/4F;2014
Jackson Sousa;W;Pts: 2x0;European;ABS;SF;2014
Arnaldo Maidana;W;Pts: 17x0;Pan American;94KG;1/8F;2014
Jackson Sousa;W;Adv;Pan American;94KG;1/4F;2014
Rafael Lovato;W;Adv;Pan American;94KG;SF;2014
Sergio Rios;W;Points;FIVE Cali. 1;ABS;1/4F;2014
JT Torres;W;Points;FIVE Cali. 1;ABS;SF;2014
Gustavo Pires;W;Pts: 3x2;World Champ.;100KG;1/4F;2014
Alessandro Silva;W;Armbar;SF Open;O100KG;F;2014
Ricardo Rezende;W;Pts: 2x0;No Gi Worlds;ABS;RDS;2014
Tim Spriggs;W;Pts: 8x2;No Gi Worlds;ABS;1/4F;2014
Bernardo Faria;W;Armbar;No Gi Worlds;ABS;SF;2014
Keenan Cornelius;W;Pts: 4x0;No Gi Worlds;ABS;F;2014
Felipe Bueno;W;Pts: 7x0;No Gi Worlds;O100KG;1/4F;2014
Abraham Marte;W;Points;No Gi Worlds;O100KG;SF;2014
Gabriel Lucas;W;Pts: 2x0;No Gi Worlds;O100KG;F;2014
Carlos Farias;W;Pts: 8x0;Long Beach Pro;O94KG;SF;2014
James Puopolo;W;Ezekiel;Long Beach Pro;O94KG;F;2014
Arnaldo Maidana;W;Points;JJ World League;94KG;SF;2015
Gabriel Checco;W;N/A;JJ World League;94KG;F;2015
Arnaldo Maidana;W;Armbar;SF Open;ABS;1/4F;2015
Tanner Rice;W;Armbar;SF Open;ABS;SF;2015
Magid Hage;W;Cross choke;SF Open;ABS;F;2015
Vinicius Agudo;W;Bow and arrow;Pan American;ABS;R2;2015
Gabriel Lucas;W;Pts: 10x2;Pan American;ABS;R3;2015
James Puopolo;W;Pts: 7x4;World Champ.;100KG;1/4F;2015
Many Dias;W;Pts: 13x0;American Cup;ABS;1/4F;2015
Diego Herzog;W;Pts: 7x0;American Cup;ABS;SF;2015
Carlos Mello;W;Cross ck. f/ mount;American Cup;ABS;F;2015
Elliot Kelly;W;Choke from back;US Open;94KG;F;2015
Elliot Kelly;W;Pts: 5x2;US Open;ABS;GP;2015
David Robles;W;Armbar;US Open;ABS;GP;2015
James Puopolo;W;Pts: 6x2;FIVE SL;ABS;1/4F;2015
Joao Assis;W;Referee Decision;FIVE SL;ABS;SF;2015
Ricardo Mesquita;W;Pts: 3x0;ADCC;88KG;R1;2015
Zbigniew Tyszka;W;RNC;ADCC;88KG;1/4F;2015
Romulo Barral;W;Pts: 3x0;ADCC;88KG;SF;2015
Keenan Cornelius;W;Pts: 3x0;ADCC;88KG;F;2015
Shrek;W;Referee Decision;ADCC;ABS;R1;2015
Dean Lister;W;Pts: 5x3;ADCC;ABS;1/4F;2015
Guybson Sa;W;Armbar;Pan American;100KG;1/4F;2016
Evandro Nunes;W;Points;EBI 6;ABS;R1;2016
Garry Tonon;W;Points;EBI 6;ABS;1/4F;2016
Dean Lister;W;Referee Decision;F2W Pro 8;86KG;SPF;2016
Romulo Barral;W;Referee Decision;Berkut 3;ABS;SPF;2016
Aaron Johnson;W;Pts: 19x0;NoGi Worlds;97KG;SF;2016
Gustavo Elias;W;Pts: 4x0;NoGi Worlds;97KG;F;2016
Aaron Johnson;W;Pts: 19x0;NoGi Worlds;O97KG;SF;2016
Gustavo Elias;W;Pts: 4x0;NoGi Worlds;O97KG;F;2016
Marcus Wilson;W;Katagatame;NoGi Worlds;ABS;1/8F;2016
Thiago Sa;W;Pts: 0x0, Adv;NoGi Worlds;ABS;1/4F;2016
Augusto Mendes;W;Referee Decision;NoGi Worlds;ABS;SF;2016
Murilo Santana;W;Pts: 0x0, Pen;NoGi Worlds;ABS;F;2016
